lead_time_id,component_id,supplier_id,effective_date,lead_time_weeks,change_reason,recorded_at
LT_INT_000073,C004,SUP001,2023-03-01,50,月次更新,2023-03-01
LT_INT_000074,C004,SUP001,2023-05-01,45,月次更新,2023-05-01
LT_INT_000075,C004,SUP001,2023-06-01,46,月次更新,2023-06-01
LT_INT_000076,C004,SUP001,2023-08-01,41,月次更新,2023-08-01
LT_INT_000077,C004,SUP001,2023-09-01,37,月次更新,2023-09-01
LT_INT_000078,C004,SUP001,2023-11-01,33,月次更新,2023-11-01
LT_INT_000079,C004,SUP001,2023-12-01,33,月次更新,2023-12-01
LT_INT_000080,C004,SUP001,2024-02-01,31,月次更新,2024-02-01
LT_INT_000081,C004,SUP001,2024-03-01,31,月次更新,2024-03-01
LT_INT_000082,C004,SUP001,2024-05-01,30,月次更新,2024-05-01
LT_INT_000083,C004,SUP001,2024-06-01,30,月次更新,2024-06-01
LT_INT_000084,C004,SUP001,2024-08-01,30,月次更新,2024-08-01
LT_INT_000085,C004,SUP001,2024-09-01,29,月次更新,2024-09-01
LT_INT_000086,C004,SUP001,2024-11-01,28,月次更新,2024-11-01
LT_INT_000087,C004,SUP001,2024-12-01,27,月次更新,2024-12-01
LT_INT_000088,C004,SUP001,2025-02-01,27,月次更新,2025-02-01
LT_INT_000089,C004,SUP001,2025-03-01,28,月次更新,2025-03-01
LT_INT_000090,C004,SUP001,2025-05-01,26,月次更新,2025-05-01
LT_INT_000091,C004,SUP001,2025-06-01,27,月次更新,2025-06-01
LT_INT_000092,C004,SUP001,2025-08-01,23,月次更新,2025-08-01
LT_INT_000093,C004,SUP001,2025-09-01,23,月次更新,2025-09-01
LT_INT_000094,C004,SUP001,2025-11-01,23,月次更新,2025-11-01
LT_INT_000095,C004,SUP001,2025-12-01,23,月次更新,2025-12-01
LT000053,C005,SUP005,2023-01-01,67,初回登録,2023-01-01
LT000054,C005,SUP005,2023-04-01,60,工場増強,2023-04-01
LT000055,C005,SUP005,2023-07-01,53,物流混雑緩和,2023-07-01
LT000056,C005,SUP005,2023-10-01,48,通常,2023-10-01
LT000057,C005,SUP005,2024-01-01,44,通常,2024-01-01
LT000058,C005,SUP005,2024-04-01,40,通常,2024-04-01
LT000059,C005,SUP005,2024-07-01,35,物流混雑緩和,2024-07-01
LT000060,C005,SUP005,2024-10-01,34,通常,2024-10-01
LT000061,C005,SUP005,2025-01-01,34,通常,2025-01-01
LT000062,C005,SUP005,2025-04-01,36,通常,2025-04-01
LT000063,C005,SUP005,2025-07-01,31,通常,2025-07-01
LT000064,C005,SUP005,2025-10-01,31,通常,2025-10-01
LT000065,C005,SUP005,2026-01-01,31,通常,2026-01-01
LT_INT_000096,C005,SUP005,2023-02-01,63,月次更新,2023-02-01
LT_INT_000097,C005,SUP005,2023-03-01,61,月次更新,2023-03-01
LT_INT_000098,C005,SUP005,2023-05-01,58,月次更新,2023-05-01
LT_INT_000099,C005,SUP005,2023-06-01,56,月次更新,2023-06-01
LT_INT_000100,C005,SUP005,2023-08-01,51,月次更新,2023-08-01
LT_INT_000101,C005,SUP005,2023-09-01,50,月次更新,2023-09-01
LT_INT_000102,C005,SUP005,2023-11-01,47,月次更新,2023-11-01
LT_INT_000103,C005,SUP005,2023-12-01,46,月次更新,2023-12-01
LT_INT_000104,C005,SUP005,2024-02-01,43,月次更新,2024-02-01
LT_INT_000105,C005,SUP005,2024-03-01,40,月次更新,2024-03-01
LT_INT_000106,C005,SUP005,2024-05-01,38,月次更新,2024-05-01
LT_INT_000107,C005,SUP005,2024-06-01,37,月次更新,2024-06-01
LT_INT_000108,C005,SUP005,2024-08-01,33,月次更新,2024-08-01
LT_INT_000109,C005,SUP005,2024-09-01,33,月次更新,2024-09-01
LT_INT_000110,C005,SUP005,2024-11-01,33,月次更新,2024-11-01
LT_INT_000111,C005,SUP005,2024-12-01,35,月次更新,2024-12-01
LT_INT_000112,C005,SUP005,2025-02-01,35,月次更新,2025-02-01
LT_INT_000113,C005,SUP005,2025-03-01,35,月次更新,2025-03-01
LT_INT_000114,C005,SUP005,2025-05-01,36,月次更新,2025-05-01
LT_INT_000115,C005,SUP005,2025-06-01,35,月次更新,2025-06-01
LT_INT_000116,C005,SUP005,2025-08-01,31,月次更新,2025-08-01
LT_INT_000117,C005,SUP005,2025-09-01,31,月次更新,2025-09-01
LT_INT_000118,C005,SUP005,2025-11-01,31,月次更新,2025-11-01
LT_INT_000119,C005,SUP005,2025-12-01,31,月次更新,2025-12-01
LT000066,C006,SUP005,2023-01-01,61,初回登録,2023-01-01
LT000067,C006,SUP005,2023-04-01,55,通常,2023-04-01
LT000068,C006,SUP005,2023-07-01,50,通常,2023-07-01
LT000069,C006,SUP005,2023-10-01,42,工場増強,2023-10-01
LT000070,C006,SUP005,2024-01-01,38,通常,2024-01-01
LT000071,C006,SUP005,2024-04-01,39,通常,2024-04-01
LT000072,C006,SUP005,2024-07-01,31,需給改善,2024-07-01
LT000073,C006,SUP005,2024-10-01,32,通常,2024-10-01
LT000074,C006,SUP005,2025-01-01,28,物流混雑緩和,2025-01-01
LT000075,C006,SUP005,2025-04-01,29,通常,2025-04-01
LT000076,C006,SUP005,2025-07-01,28,通常,2025-07-01
LT000077,C006,SUP005,2025-10-01,28,通常,2025-10-01
LT000078,C006,SUP005,2026-01-01,28,通常,2026-01-01
LT_INT_000120,C006,SUP005,2023-02-01,58,月次更新,2023-02-01
LT_INT_000121,C006,SUP005,2023-03-01,56,月次更新,2023-03-01
LT_INT_000122,C006,SUP005,2023-05-01,54,月次更新,2023-05-01
LT_INT_000123,C006,SUP005,2023-06-01,51,月次更新,2023-06-01
LT_INT_000124,C006,SUP005,2023-08-01,47,月次更新,2023-08-01
LT_INT_000125,C006,SUP005,2023-09-01,43,月次更新,2023-09-01
LT_INT_000126,C006,SUP005,2023-11-01,39,月次更新,2023-11-01
LT_INT_000127,C006,SUP005,2023-12-01,40,月次更新,2023-12-01
LT_INT_000128,C006,SUP005,2024-02-01,37,月次更新,2024-02-01
LT_INT_000129,C006,SUP005,2024-03-01,39,月次更新,2024-03-01
LT_INT_000130,C006,SUP005,2024-05-01,36,月次更新,2024-05-01
LT_INT_000131,C006,SUP005,2024-06-01,33,月次更新,2024-06-01
LT_INT_000132,C006,SUP005,2024-08-01,32,月次更新,2024-08-01
LT_INT_000133,C006,SUP005,2024-09-01,30,月次更新,2024-09-01
LT_INT_000134,C006,SUP005,2024-11-01,30,月次更新,2024-11-01
LT_INT_000135,C006,SUP005,2024-12-01,28,月次更新,2024-12-01
LT_INT_000136,C006,SUP005,2025-02-01,28,月次更新,2025-02-01
LT_INT_000137,C006,SUP005,2025-03-01,29,月次更新,2025-03-01
LT_INT_000138,C006,SUP005,2025-05-01,30,月次更新,2025-05-01
LT_INT_000139,C006,SUP005,2025-06-01,31,月次更新,2025-06-01
LT_INT_000140,C006,SUP005,2025-08-01,28,月次更新,2025-08-01
LT_INT_000141,C006,SUP005,2025-09-01,28,月次更新,2025-09-01
LT_INT_000142,C006,SUP005,2025-11-01,28,月次更新,2025-11-01
LT_INT_000143,C006,SUP005,2025-12-01,28,月次更新,2025-12-01
LT000079,C007,SUP004,2023-01-01,48,初回登録,2023-01-01
LT000080,C007,SUP004,2023-04-01,40,増産効果,2023-04-01
LT000081,C007,SUP004,2023-07-01,39,通常,2023-07-01
LT000082,C007,SUP004,2023-10-01,29,増産効果,2023-10-01
LT000083,C007,SUP004,2024-01-01,30,通常,2024-01-01
LT000084,C007,SUP004,2024-04-01,26,物流混雑緩和,2024-04-01
LT000085,C007,SUP004,2024-07-01,26,通常,2024-07-01
LT000086,C007,SUP004,2024-10-01,21,需給改善,2024-10-01
LT000087,C007,SUP004,2025-01-01,21,通常,2025-01-01
LT000088,C007,SUP004,2025-04-01,23,通常,2025-04-01
LT000089,C007,SUP004,2025-07-01,21,通常,2025-07-01
LT000090,C007,SUP004,2025-10-01,21,通常,2025-10-01
LT000091,C007,SUP004,2026-01-01,21,通常,2026-01-01
LT_INT_000144,C007,SUP004,2023-02-01,45,月次更新,2023-02-01
LT_INT_000145,C007,SUP004,2023-03-01,42,月次更新,2023-03-01
LT_INT_000146,C007,SUP004,2023-05-01,39,月次更新,2023-05-01
LT_INT_000147,C007,SUP004,2023-06-01,39,月次更新,2023-06-01
LT_INT_000148,C007,SUP004,2023-08-01,35,月次更新,2023-08-01
LT_INT_000149,C007,SUP004,2023-09-01,31,月次更新,2023-09-01
LT_INT_000150,C007,SUP004,2023-11-01,29,月次更新,2023-11-01
LT_INT_000151,C007,SUP004,2023-12-01,29,月次更新,2023-12-01
LT_INT_000152,C007,SUP004,2024-02-01,27,月次更新,2024-02-01
LT_INT_000153,C007,SUP004,2024-03-01,27,月次更新,2024-03-01
LT_INT_000154,C007,SUP004,2024-05-01,25,月次更新,2024-05-01
LT_INT_000155,C007,SUP004,2024-06-01,25,月次更新,2024-06-01
LT_INT_000156,C007,SUP004,2024-08-01,25,月次更新,2024-08-01
LT_INT_000157,C007,SUP004,2024-09-01,23,月次更新,2024-09-01
LT_INT_000158,C007,SUP004,2024-11-01,22,月次更新,2024-11-01
LT_INT_000159,C007,SUP004,2024-12-01,22,月次更新,2024-12-01
LT_INT_000160,C007,SUP004,2025-02-01,21,月次更新,2025-02-01
LT_INT_000161,C007,SUP004,2025-03-01,23,月次更新,2025-03-01
LT_INT_000162,C007,SUP004,2025-05-01,22,月次更新,2025-05-01
LT_INT_000163,C007,SUP004,2025-06-01,24,月次更新,2025-06-01
LT_INT_000164,C007,SUP004,2025-08-01,21,月次更新,2025-08-01
LT_INT_000165,C007,SUP004,2025-09-01,21,月次更新,2025-09-01
LT_INT_000166,C007,SUP004,2025-11-01,21,月次更新,2025-11-01
LT_INT_000167,C007,SUP004,2025-12-01,21,月次更新,2025-12-01
LT000092,C008,SUP004,2023-01-01,51,初回登録,2023-01-01
LT000093,C008,SUP004,2023-04-01,49,通常,2023-04-01
LT000094,C008,SUP004,2023-07-01,35,工場増強,2023-07-01
LT000095,C008,SUP004,2023-10-01,32,通常,2023-10-01
LT000096,C008,SUP004,2024-01-01,32,通常,2024-01-01
LT000097,C008,SUP004,2024-04-01,27,物流混雑緩和,2024-04-01
LT000098,C008,SUP004,2024-07-01,25,通常,2024-07-01
LT000099,C008,SUP004,2024-10-01,24,通常,2024-10-01
LT000100,C008,SUP004,2025-01-01,25,通常,2025-01-01
LT000101,C008,SUP004,2025-04-01,23,通常,2025-04-01
LT000102,C008,SUP004,2025-07-01,24,通常,2025-07-01
LT000103,C008,SUP004,2025-10-01,24,通常,2025-10-01
LT000104,C008,SUP004,2026-01-01,24,通常,2026-01-01
LT_INT_000168,C008,SUP004,2023-02-01,51,月次更新,2023-02-01
LT_INT_000169,C008,SUP004,2023-03-01,49,月次更新,2023-03-01
LT_INT_000170,C008,SUP004,2023-05-01,43,月次更新,2023-05-01
LT_INT_000171,C008,SUP004,2023-06-01,39,月次更新,2023-06-01
LT_INT_000172,C008,SUP004,2023-08-01,33,月次更新,2023-08-01
LT_INT_000173,C008,SUP004,2023-09-01,33,月次更新,2023-09-01
LT_INT_000174,C008,SUP004,2023-11-01,33,月次更新,2023-11-01
LT_INT_000175,C008,SUP004,2023-12-01,31,月次更新,2023-12-01
LT_INT_000176,C008,SUP004,2024-02-01,30,月次更新,2024-02-01
LT_INT_000177,C008,SUP004,2024-03-01,28,月次更新,2024-03-01
LT_INT_000178,C008,SUP004,2024-05-01,26,月次更新,2024-05-01
LT_INT_000179,C008,SUP004,2024-06-01,24,月次更新,2024-06-01
LT_INT_000180,C008,SUP004,2024-08-01,23,月次更新,2024-08-01
LT_INT_000181,C008,SUP004,2024-09-01,23,月次更新,2024-09-01
LT_INT_000182,C008,SUP004,2024-11-01,25,月次更新,2024-11-01
LT_INT_000183,C008,SUP004,2024-12-01,25,月次更新,2024-12-01
LT_INT_000184,C008,SUP004,2025-02-01,23,月次更新,2025-02-01
LT_INT_000185,C008,SUP004,2025-03-01,23,月次更新,2025-03-01
LT_INT_000186,C008,SUP004,2025-05-01,24,月次更新,2025-05-01
LT_INT_000187,C008,SUP004,2025-06-01,22,月次更新,2025-06-01
LT_INT_000188,C008,SUP004,2025-08-01,24,月次更新,2025-08-01
LT_INT_000189,C008,SUP004,2025-09-01,24,月次更新,2025-09-01
LT_INT_000190,C008,SUP004,2025-11-01,24,月次更新,2025-11-01
LT_INT_000191,C008,SUP004,2025-12-01,24,月次更新,2025-12-01
LT000105,C009,SUP009,2023-01-01,43,初回登録,2023-01-01
LT000106,C009,SUP009,2023-04-01,33,工場増強,2023-04-01
LT000107,C009,SUP009,2023-07-01,28,工場増強,2023-07-01
LT000108,C009,SUP009,2023-10-01,28,通常,2023-10-01
LT000109,C009,SUP009,2024-01-01,24,需給改善,2024-01-01
LT000110,C009,SUP009,2024-04-01,22,通常,2024-04-01
LT000111,C009,SUP009,2024-07-01,21,通常,2024-07-01
LT000112,C009,SUP009,2024-10-01,20,通常,2024-10-01
LT000113,C009,SUP009,2025-01-01,17,工場増強,2025-01-01
LT000114,C009,SUP009,2025-04-01,16,通常,2025-04-01
LT000115,C009,SUP009,2025-07-01,18,地政学リスク,2025-07-01
LT000116,C009,SUP009,2025-10-01,18,通常,2025-10-01
LT000117,C009,SUP009,2026-01-01,18,通常,2026-01-01
LT_INT_000192,C009,SUP009,2023-02-01,39,月次更新,2023-02-01
LT_INT_000193,C009,SUP009,2023-03-01,36,月次更新,2023-03-01
LT_INT_000194,C009,SUP009,2023-05-01,32,月次更新,2023-05-01
LT_INT_000195,C009,SUP009,2023-06-01,30,月次更新,2023-06-01
LT_INT_000196,C009,SUP009,2023-08-01,29,月次更新,2023-08-01
LT_INT_000197,C009,SUP009,2023-09-01,27,月次更新,2023-09-01
LT_INT_000198,C009,SUP009,2023-11-01,27,月次更新,2023-11-01
LT_INT_000199,C009,SUP009,2023-12-01,25,月次更新,2023-12-01
LT_INT_000200,C009,SUP009,2024-02-01,24,月次更新,2024-02-01
LT_INT_000201,C009,SUP009,2024-03-01,22,月次更新,2024-03-01
LT_INT_000202,C009,SUP009,2024-05-01,20,月次更新,2024-05-01
LT_INT_000203,C009,SUP009,2024-06-01,21,月次更新,2024-06-01
LT_INT_000204,C009,SUP009,2024-08-01,20,月次更新,2024-08-01
LT_INT_000205,C009,SUP009,2024-09-01,20,月次更新,2024-09-01
LT_INT_000206,C009,SUP009,2024-11-01,18,月次更新,2024-11-01
LT_INT_000207,C009,SUP009,2024-12-01,19,月次更新,2024-12-01
LT_INT_000208,C009,SUP009,2025-02-01,17,月次更新,2025-02-01
LT_INT_000209,C009,SUP009,2025-03-01,15,月次更新,2025-03-01
LT_INT_000210,C009,SUP009,2025-05-01,17,月次更新,2025-05-01
LT_INT_000211,C009,SUP009,2025-06-01,19,月次更新,2025-06-01
LT_INT_000212,C009,SUP009,2025-08-01,18,月次更新,2025-08-01
LT_INT_000213,C009,SUP009,2025-09-01,18,月次更新,2025-09-01
LT_INT_000214,C009,SUP009,2025-11-01,18,月次更新,2025-11-01
LT_INT_000215,C009,SUP009,2025-12-01,18,月次更新,2025-12-01
LT000118,C010,SUP009,2023-01-01,40,初回登録,2023-01-01
LT000119,C010,SUP009,2023-04-01,37,通常,2023-04-01
LT000120,C010,SUP009,2023-07-01,29,工場増強,2023-07-01
LT000121,C010,SUP009,2023-10-01,27,通常,2023-10-01
LT000122,C010,SUP009,2024-01-01,26,通常,2024-01-01
LT000123,C010,SUP009,2024-04-01,25,通常,2024-04-01
LT000124,C010,SUP009,2024-07-01,21,工場増強,2024-07-01
LT000125,C010,SUP009,2024-10-01,22,通常,2024-10-01
LT000126,C010,SUP009,2025-01-01,21,通常,2025-01-01
LT000127,C010,SUP009,2025-04-01,18,工場増強,2025-04-01
LT000128,C010,SUP009,2025-07-01,20,ファウンドリ不足,2025-07-01
LT000129,C010,SUP009,2025-10-01,20,通常,2025-10-01
LT000130,C010,SUP009,2026-01-01,20,通常,2026-01-01
LT_INT_000216,C010,SUP009,2023-02-01,40,月次更新,2023-02-01
LT_INT_000217,C010,SUP009,2023-03-01,37,月次更新,2023-03-01
LT_INT_000218,C010,SUP009,2023-05-01,35,月次更新,2023-05-01
LT_INT_000219,C010,SUP009,2023-06-01,32,月次更新,2023-06-01
LT_INT_000220,C010,SUP009,2023-08-01,29,月次更新,2023-08-01
LT_INT_000221,C010,SUP009,2023-09-01,28,月次更新,2023-09-01
LT_INT_000222,C010,SUP009,2023-11-01,25,月次更新,2023-11-01
LT_INT_000223,C010,SUP009,2023-12-01,26,月次更新,2023-12-01
LT_INT_000224,C010,SUP009,2024-02-01,24,月次更新,2024-02-01
LT_INT_000225,C010,SUP009,2024-03-01,24,月次更新,2024-03-01
LT_INT_000226,C010,SUP009,2024-05-01,22,月次更新,2024-05-01
LT_INT_000227,C010,SUP009,2024-06-01,22,月次更新,2024-06-01
LT_INT_000228,C010,SUP009,2024-08-01,22,月次更新,2024-08-01
LT_INT_000229,C010,SUP009,2024-09-01,22,月次更新,2024-09-01
LT_INT_000230,C010,SUP009,2024-11-01,22,月次更新,2024-11-01
LT_INT_000231,C010,SUP009,2024-12-01,21,月次更新,2024-12-01
LT_INT_000232,C010,SUP009,2025-02-01,21,月次更新,2025-02-01
LT_INT_000233,C010,SUP009,2025-03-01,19,月次更新,2025-03-01
LT_INT_000234,C010,SUP009,2025-05-01,19,月次更新,2025-05-01
LT_INT_000235,C010,SUP009,2025-06-01,20,月次更新,2025-06-01
LT_INT_000236,C010,SUP009,2025-08-01,20,月次更新,2025-08-01
LT_INT_000237,C010,SUP009,2025-09-01,20,月次更新,2025-09-01
LT_INT_000238,C010,SUP009,2025-11-01,20,月次更新,2025-11-01
LT_INT_000239,C010,SUP009,2025-12-01,20,月次更新,2025-12-01
LT000131,C011,SUP002,2023-01-01,32,初回登録,2023-01-01
LT000132,C011,SUP002,2023-04-01,34,通常,2023-04-01
LT000133,C011,SUP002,2023-07-01,24,需給改善,2023-07-01
LT000134,C011,SUP002,2023-10-01,22,通常,2023-10-01
LT000135,C011,SUP002,2024-01-01,18,需給改善,2024-01-01
LT000136,C011,SUP002,2024-04-01,18,通常,2024-04-01
LT000137,C011,SUP002,2024-07-01,18,通常,2024-07-01
LT000138,C011,SUP002,2024-10-01,18,通常,2024-10-01
LT000139,C011,SUP002,2025-01-01,18,通常,2025-01-01
LT000140,C011,SUP002,2025-04-01,16,増産効果,2025-04-01
LT000141,C011,SUP002,2025-07-01,11,通常,2025-07-01
LT000142,C011,SUP002,2025-10-01,11,通常,2025-10-01
LT000143,C011,SUP002,2026-01-01,15,通常,2026-01-01
LT_INT_000240,C011,SUP002,2023-02-01,31,月次更新,2023-02-01
