shipment_id,component_id,supplier_id,destination_warehouse_id,order_date,expected_arrival_date,actual_arrival_date,quantity,status,delay_days,delay_cause,unit_cost_usd
SH0000031,C001,SUP002,WH008,2025-08-23,2026-02-21,2026-02-21,1000,delivered,0,,18.5
SH0000032,C001,SUP002,WH008,2025-10-11,2026-04-25,,1500,ordered,0,,18.5
SH0000033,C001,SUP002,WH003,2025-11-08,2026-05-23,,500,ordered,0,,18.5
SH0000034,C001,SUP002,WH006,2025-11-29,2026-06-13,,500,ordered,0,,18.5
SH0000035,C001,SUP002,WH004,2026-01-17,2026-07-04,,1000,ordered,0,,18.5
SH0000036,C001,SUP002,WH002,2026-02-14,2026-08-01,,2000,ordered,0,,18.5
SH0000037,C001,SUP002,WH003,2026-03-07,2026-08-22,,2000,ordered,0,,18.5
SH0000038,C001,SUP002,WH001,2026-03-28,2026-09-12,,500,ordered,0,,18.5
SH0000039,C001,SUP002,WH008,2026-05-09,2026-10-24,,2000,ordered,0,,18.5
SH0000040,C001,SUP002,WH001,2026-05-23,2026-11-07,,1000,ordered,0,,18.5
SH0000041,C001,SUP002,WH004,2026-06-13,2026-11-28,,2500,ordered,0,,18.5
SH0000042,C002,SUP002,WH009,2023-01-22,2024-02-25,2024-02-25,2000,delivered,0,,22.0
SH0000043,C002,SUP002,WH004,2023-02-12,2024-03-17,2024-03-17,1000,delivered,0,,22.0
SH0000044,C002,SUP002,WH001,2023-02-26,2024-03-31,2024-03-31,2500,delivered,0,,22.0
SH0000045,C002,SUP002,WH008,2023-03-19,2024-04-21,2024-04-21,2500,delivered,0,,22.0
SH0000046,C002,SUP002,WH003,2023-05-14,2024-06-23,2024-06-23,1000,delivered,0,,22.0
SH0000047,C002,SUP002,WH002,2023-06-04,2024-07-14,2024-07-14,1500,delivered,0,,22.0
SH0000048,C002,SUP002,WH006,2023-07-30,2024-06-02,2024-06-02,500,delivered,0,,22.0
SH0000049,C002,SUP002,WH009,2023-09-10,2024-07-14,2024-07-14,2500,delivered,0,,22.0
SH0000050,C002,SUP002,WH010,2023-10-22,2024-07-14,2024-07-14,500,delivered,0,,22.0
SH0000051,C002,SUP002,WH002,2023-12-03,2024-08-25,2024-08-25,2500,delivered,0,,22.0
SH0000052,C002,SUP002,WH005,2024-01-14,2024-09-22,2024-09-22,500,delivered,0,,22.0
SH0000053,C002,SUP002,WH009,2024-02-18,2024-10-27,2024-10-27,1000,delivered,0,,22.0
SH0000054,C002,SUP002,WH001,2024-04-14,2024-12-15,2024-12-15,1000,delivered,0,,22.0
SH0000055,C002,SUP002,WH010,2024-05-05,2025-01-05,2025-01-05,1500,delivered,0,,22.0
SH0000056,C002,SUP002,WH004,2024-06-02,2025-02-02,2025-02-02,1000,delivered,0,,22.0
SH0000057,C002,SUP002,WH005,2024-06-23,2025-02-23,2025-02-23,2000,delivered,0,,22.0
SH0000058,C002,SUP002,WH002,2024-08-11,2025-03-23,2025-03-23,2000,delivered,0,,22.0
SH0000059,C002,SUP002,WH001,2024-09-01,2025-04-13,2025-04-13,2500,delivered,0,,22.0
SH0000060,C002,SUP002,WH004,2024-10-20,2025-05-04,2025-05-04,1000,delivered,0,,22.0
SH0000061,C002,SUP002,WH004,2024-11-17,2025-06-01,2025-06-01,500,delivered,0,,22.0
SH0000062,C002,SUP002,WH001,2025-01-12,2025-07-13,2025-07-13,500,delivered,0,,22.0
SH0000063,C002,SUP002,WH008,2025-03-02,2025-08-31,2025-08-31,2000,delivered,0,,22.0
SH0000064,C002,SUP002,WH004,2025-03-23,2025-09-21,2025-10-14,1000,delayed,23,メーカー部材不足,22.0
SH0000065,C002,SUP002,WH009,2025-05-11,2025-11-23,2025-11-23,2000,delivered,0,,22.0
SH0000066,C002,SUP002,WH003,2025-07-06,2026-02-01,2026-02-01,2000,delivered,0,,22.0
SH0000067,C002,SUP002,WH004,2025-08-17,2026-03-15,2026-03-15,500,delivered,0,,22.0
SH0000068,C002,SUP002,WH002,2025-09-21,2026-04-19,,500,ordered,0,,22.0
SH0000069,C002,SUP002,WH006,2025-10-12,2026-05-03,,2500,ordered,0,,22.0
SH0000070,C002,SUP002,WH007,2025-11-23,2026-06-14,,500,ordered,0,,22.0
SH0000071,C002,SUP002,WH003,2025-12-07,2026-06-28,,500,ordered,0,,22.0
SH0000072,C002,SUP002,WH009,2026-01-18,2026-07-12,,1000,ordered,0,,22.0
SH0000073,C002,SUP002,WH003,2026-02-22,2026-08-16,,1500,ordered,0,,22.0
SH0000074,C002,SUP002,WH010,2026-04-12,2026-10-04,,500,ordered,0,,22.0
SH0000075,C002,SUP002,WH007,2026-05-17,2026-11-08,,500,ordered,0,,22.0
SH0000076,C002,SUP002,WH003,2026-06-14,2026-12-06,,2500,ordered,0,,22.0
SH0000077,C003,SUP001,WH002,2023-01-03,2023-12-19,2023-12-19,5000,delivered,0,,15.8
SH0000078,C003,SUP001,WH008,2023-02-07,2024-01-23,2024-01-23,3000,delivered,0,,15.8
SH0000079,C003,SUP001,WH007,2023-02-21,2024-02-06,2024-02-06,1000,delivered,0,,15.8
SH0000080,C003,SUP001,WH009,2023-03-07,2024-02-20,2024-03-05,3000,delivered,0,,15.8
SH0000081,C003,SUP001,WH003,2023-03-21,2024-03-05,2024-03-05,4000,delivered,0,,15.8
SH0000082,C003,SUP001,WH002,2023-04-04,2024-03-05,2024-03-05,2000,delivered,0,,15.8
SH0000083,C003,SUP001,WH002,2023-04-25,2024-03-26,2024-03-26,3000,delivered,0,,15.8
SH0000084,C003,SUP001,WH008,2023-06-20,2024-05-21,2024-05-21,1000,delivered,0,,15.8
SH0000085,C003,SUP001,WH001,2023-07-04,2024-03-19,2024-03-19,4000,delivered,0,,15.8
SH0000086,C003,SUP001,WH009,2023-08-29,2024-05-14,2024-05-14,3000,delivered,0,,15.8
SH0000087,C003,SUP001,WH010,2023-09-19,2024-06-04,2024-06-04,4000,delivered,0,,15.8
SH0000088,C003,SUP001,WH004,2023-11-07,2024-06-11,2024-06-11,4000,delivered,0,,15.8
SH0000089,C003,SUP001,WH002,2023-12-26,2024-07-30,2024-07-30,5000,delivered,0,,15.8
SH0000090,C003,SUP001,WH006,2024-01-23,2024-08-27,2024-08-27,4000,delivered,0,,15.8
SH0000091,C003,SUP001,WH001,2024-02-13,2024-09-17,2024-09-17,1000,delivered,0,,15.8
SH0000092,C003,SUP001,WH010,2024-03-05,2024-10-08,2024-10-08,5000,delivered,0,,15.8
SH0000093,C003,SUP001,WH004,2024-03-26,2024-10-29,2024-10-29,4000,delivered,0,,15.8
SH0000094,C003,SUP001,WH006,2024-04-16,2024-11-05,2024-11-05,1000,delivered,0,,15.8
SH0000095,C003,SUP001,WH010,2024-05-07,2024-11-26,2024-11-26,1000,delivered,0,,15.8
SH0000096,C003,SUP001,WH004,2024-06-25,2025-01-14,2025-01-14,1000,delivered,0,,15.8
SH0000097,C003,SUP001,WH003,2024-07-09,2025-01-21,2025-01-21,2000,delivered,0,,15.8
SH0000098,C003,SUP001,WH001,2024-08-13,2025-02-25,2025-02-25,4000,delivered,0,,15.8
SH0000099,C003,SUP001,WH008,2024-10-08,2025-04-08,2025-04-08,5000,delivered,0,,15.8
SH0000100,C003,SUP001,WH003,2024-11-26,2025-05-27,2025-05-27,2000,delivered,0,,15.8
SH0000101,C003,SUP001,WH003,2025-01-21,2025-07-15,2025-07-15,3000,delivered,0,,15.8
SH0000102,C003,SUP001,WH007,2025-02-18,2025-08-12,2025-08-12,3000,delivered,0,,15.8
SH0000103,C003,SUP001,WH007,2025-03-25,2025-09-16,2025-09-16,1000,delivered,0,,15.8
SH0000104,C003,SUP001,WH010,2025-04-29,2025-10-07,2025-10-21,3000,delivered,0,,15.8
SH0000105,C003,SUP001,WH001,2025-06-24,2025-12-02,2025-12-02,3000,delivered,0,,15.8
SH0000106,C003,SUP001,WH006,2025-07-15,2025-12-30,2025-12-30,3000,delivered,0,,15.8
SH0000107,C003,SUP001,WH004,2025-08-05,2026-01-20,2026-01-20,3000,delivered,0,,15.8
SH0000108,C003,SUP001,WH007,2025-09-09,2026-02-24,2026-02-24,4000,delivered,0,,15.8
SH0000109,C003,SUP001,WH003,2025-10-28,2026-04-21,,4000,ordered,0,,15.8
SH0000110,C003,SUP001,WH002,2025-12-02,2026-05-26,,4000,ordered,0,,15.8
SH0000111,C003,SUP001,WH001,2026-01-13,2026-06-16,,3000,ordered,0,,15.8
SH0000112,C003,SUP001,WH006,2026-03-10,2026-08-11,,2000,ordered,0,,15.8
SH0000113,C003,SUP001,WH003,2026-04-07,2026-09-08,,3000,ordered,0,,15.8
SH0000114,C003,SUP001,WH007,2026-05-19,2026-10-20,,2000,ordered,0,,15.8
SH0000115,C003,SUP001,WH005,2026-06-16,2026-11-17,,5000,ordered,0,,15.8
SH0000116,C004,SUP001,WH005,2023-01-13,2024-02-16,2024-02-16,500,delivered,0,,19.2
SH0000117,C004,SUP001,WH007,2023-02-24,2024-03-29,2024-04-21,1000,delayed,23,天候不良,19.2
SH0000118,C004,SUP001,WH009,2023-04-21,2024-03-22,2024-03-22,1000,delivered,0,,19.2
SH0000119,C004,SUP001,WH002,2023-05-05,2024-04-05,2024-04-05,500,delivered,0,,19.2
SH0000120,C004,SUP001,WH007,2023-06-02,2024-05-03,2024-05-03,1000,delivered,0,,19.2
SH0000121,C004,SUP001,WH010,2023-07-14,2024-05-17,2024-05-17,500,delivered,0,,19.2
SH0000122,C004,SUP001,WH006,2023-07-28,2024-05-31,2024-05-31,1000,delivered,0,,19.2
SH0000123,C004,SUP001,WH001,2023-08-25,2024-06-28,2024-07-01,1500,delivered,0,,19.2
SH0000124,C004,SUP001,WH008,2023-10-20,2024-06-21,2024-06-21,500,delivered,0,,19.2
SH0000125,C004,SUP001,WH009,2023-12-08,2024-08-09,2024-08-09,2500,delivered,0,,19.2
SH0000126,C004,SUP001,WH009,2023-12-22,2024-08-23,2024-08-23,1000,delivered,0,,19.2
SH0000127,C004,SUP001,WH009,2024-01-19,2024-09-06,2024-09-06,1500,delivered,0,,19.2
SH0000128,C004,SUP001,WH009,2024-02-16,2024-10-04,2024-10-04,1000,delivered,0,,19.2
SH0000129,C004,SUP001,WH005,2024-03-22,2024-11-08,2024-11-08,2500,delivered,0,,19.2
SH0000130,C004,SUP001,WH006,2024-04-26,2024-11-29,2024-11-29,2000,delivered,0,,19.2
SH0000131,C004,SUP001,WH010,2024-06-07,2025-01-10,2025-01-10,2000,delivered,0,,19.2
SH0000132,C004,SUP001,WH003,2024-07-05,2025-01-31,2025-01-31,1500,delivered,0,,19.2
SH0000133,C004,SUP001,WH010,2024-07-26,2025-02-21,2025-02-21,500,delivered,0,,19.2
SH0000134,C004,SUP001,WH005,2024-09-13,2025-04-11,2025-04-11,2500,delivered,0,,19.2
SH0000135,C004,SUP001,WH008,2024-10-04,2025-04-18,2025-04-18,2500,delivered,0,,19.2
SH0000136,C004,SUP001,WH010,2024-11-01,2025-05-16,2025-05-16,2500,delivered,0,,19.2
SH0000137,C004,SUP001,WH001,2024-11-29,2025-06-13,2025-06-13,2000,delivered,0,,19.2
SH0000138,C004,SUP001,WH007,2025-01-10,2025-07-18,2025-07-18,2000,delivered,0,,19.2
SH0000139,C004,SUP001,WH006,2025-01-31,2025-08-08,2025-08-08,2500,delivered,0,,19.2
SH0000140,C004,SUP001,WH006,2025-02-14,2025-08-22,2025-08-22,2500,delivered,0,,19.2
SH0000141,C004,SUP001,WH007,2025-04-11,2025-10-17,2025-10-17,2500,delivered,0,,19.2
SH0000142,C004,SUP001,WH010,2025-05-30,2025-12-05,2025-12-05,500,delivered,0,,19.2
SH0000143,C004,SUP001,WH010,2025-06-13,2025-12-19,2025-12-19,1000,delivered,0,,19.2
SH0000144,C004,SUP001,WH005,2025-08-08,2026-02-20,2026-02-20,500,delivered,0,,19.2
SH0000145,C004,SUP001,WH010,2025-09-26,2026-04-10,,1000,in_transit,0,,19.2
SH0000146,C004,SUP001,WH006,2025-10-31,2026-05-01,,2000,ordered,0,,19.2
SH0000147,C004,SUP001,WH001,2025-11-14,2026-05-15,,1000,ordered,0,,19.2
SH0000148,C004,SUP001,WH010,2026-01-02,2026-06-12,,1500,ordered,0,,19.2
SH0000149,C004,SUP001,WH010,2026-02-27,2026-08-07,,1000,ordered,0,,19.2
SH0000150,C004,SUP001,WH002,2026-03-27,2026-09-04,,2500,ordered,0,,19.2
SH0000151,C004,SUP001,WH008,2026-05-22,2026-10-30,,500,ordered,0,,19.2
SH0000152,C004,SUP001,WH004,2026-06-19,2026-11-27,,500,ordered,0,,19.2
SH0000153,C005,SUP005,WH004,2023-01-23,2024-05-06,2024-05-06,500,delivered,0,,45.0
SH0000154,C005,SUP005,WH001,2023-03-13,2024-06-24,2024-07-06,1000,delivered,0,,45.0
SH0000155,C005,SUP005,WH002,2023-05-08,2024-07-01,2024-07-01,1000,delivered,0,,45.0
SH0000156,C005,SUP005,WH010,2023-05-29,2024-07-22,2024-07-22,750,delivered,0,,45.0
SH0000157,C005,SUP005,WH001,2023-06-12,2024-08-05,2024-08-05,1000,delivered,0,,45.0
SH0000158,C005,SUP005,WH009,2023-07-10,2024-07-15,2024-07-15,1000,delivered,0,,45.0
SH0000159,C005,SUP005,WH004,2023-08-21,2024-08-26,2024-08-26,1250,delivered,0,,45.0
SH0000160,C005,SUP005,WH005,2023-10-02,2024-09-02,2024-09-07,1000,delivered,0,,45.0
SH0000161,C005,SUP005,WH004,2023-11-27,2024-10-28,2024-10-28,500,delivered,0,,45.0
SH0000162,C005,SUP005,WH008,2024-01-15,2024-11-18,2024-12-05,250,delayed,17,通関遅延,45.0
SH0000163,C005,SUP005,WH007,2024-02-12,2024-12-16,2024-12-16,1250,delivered,0,,45.0
SH0000164,C005,SUP005,WH009,2024-02-26,2024-12-30,2024-12-30,500,delivered,0,,45.0
SH0000165,C005,SUP005,WH004,2024-04-01,2025-01-06,2025-01-06,250,delivered,0,,45.0
SH0000166,C005,SUP005,WH010,2024-05-06,2025-02-10,2025-02-10,1000,delivered,0,,45.0
SH0000167,C005,SUP005,WH010,2024-06-03,2025-03-10,2025-03-10,750,delivered,0,,45.0
SH0000168,C005,SUP005,WH001,2024-07-08,2025-03-10,2025-03-13,1000,delivered,0,,45.0
SH0000169,C005,SUP005,WH008,2024-08-19,2025-04-21,2025-04-21,250,delivered,0,,45.0
SH0000170,C005,SUP005,WH010,2024-09-02,2025-05-05,2025-05-05,250,delivered,0,,45.0
SH0000171,C005,SUP005,WH009,2024-09-16,2025-05-19,2025-05-19,750,delivered,0,,45.0
SH0000172,C005,SUP005,WH007,2024-11-04,2025-06-30,2025-06-30,250,delivered,0,,45.0
SH0000173,C005,SUP005,WH001,2024-12-16,2025-08-11,2025-08-11,250,delivered,0,,45.0
SH0000174,C005,SUP005,WH006,2025-01-27,2025-09-22,2025-09-22,1000,delivered,0,,45.0
SH0000175,C005,SUP005,WH001,2025-02-10,2025-10-06,2025-10-06,250,delivered,0,,45.0
SH0000176,C005,SUP005,WH001,2025-02-24,2025-10-20,2025-10-20,500,delivered,0,,45.0
SH0000177,C005,SUP005,WH002,2025-03-17,2025-11-10,2025-11-10,1000,delivered,0,,45.0
SH0000178,C005,SUP005,WH004,2025-04-28,2026-01-05,2026-01-05,1250,delivered,0,,45.0
SH0000179,C005,SUP005,WH006,2025-05-12,2026-01-19,2026-02-14,250,delivered,0,,45.0
SH0000180,C005,SUP005,WH002,2025-07-07,2026-03-02,2026-03-02,1250,delivered,0,,45.0
SH0000181,C005,SUP005,WH007,2025-07-21,2026-03-16,2026-03-16,750,delivered,0,,45.0
SH0000182,C005,SUP005,WH010,2025-09-08,2026-05-04,,1000,ordered,0,,45.0
SH0000183,C005,SUP005,WH010,2025-10-13,2026-05-25,,1000,ordered,0,,45.0
SH0000184,C005,SUP005,WH002,2025-12-08,2026-07-20,,750,ordered,6,メーカー設備停止,45.0
SH0000185,C005,SUP005,WH002,2026-01-05,2026-08-10,,1000,ordered,28,メーカー生産遅延,45.0
SH0000186,C005,SUP005,WH003,2026-03-02,2026-10-05,,500,ordered,0,,45.0
SH0000187,C005,SUP005,WH002,2026-03-30,2026-11-02,,750,ordered,0,,45.0
SH0000188,C005,SUP005,WH003,2026-05-25,2026-12-28,,1250,ordered,0,,45.0
SH0000189,C005,SUP005,WH009,2026-06-22,2027-01-25,,250,ordered,0,,45.0
SH0000190,C006,SUP005,WH003,2023-01-15,2024-03-17,2024-04-16,1000,delayed,30,メーカー生産遅延,38.5
SH0000191,C006,SUP005,WH003,2023-03-12,2024-05-12,2024-05-12,750,delivered,0,,38.5
SH0000192,C006,SUP005,WH005,2023-05-07,2024-05-26,2024-05-26,1250,delivered,0,,38.5
SH0000193,C006,SUP005,WH006,2023-06-11,2024-06-30,2024-06-30,500,delivered,0,,38.5
SH0000194,C006,SUP005,WH005,2023-07-30,2024-07-14,2024-07-14,500,delivered,0,,38.5
SH0000195,C006,SUP005,WH002,2023-09-17,2024-09-01,2024-09-01,500,delivered,0,,38.5
SH0000196,C006,SUP005,WH005,2023-10-15,2024-08-04,2024-08-04,250,delivered,0,,38.5
SH0000197,C006,SUP005,WH008,2023-11-12,2024-09-01,2024-09-01,1250,delivered,0,,38.5
SH0000198,C006,SUP005,WH006,2024-01-07,2024-09-29,2024-10-07,750,delivered,0,,38.5
SH0000199,C006,SUP005,WH003,2024-02-04,2024-10-27,2024-10-27,500,delivered,0,,38.5
SH0000200,C006,SUP005,WH003,2024-03-03,2024-11-24,2024-11-24,1000,delivered,0,,38.5
SH0000201,C006,SUP005,WH006,2024-04-21,2025-01-19,2025-01-19,1000,delivered,0,,38.5
SH0000202,C006,SUP005,WH002,2024-05-26,2025-02-23,2025-02-23,500,delivered,0,,38.5
SH0000203,C006,SUP005,WH001,2024-06-16,2025-03-16,2025-03-16,1000,delivered,0,,38.5
SH0000204,C006,SUP005,WH004,2024-06-30,2025-03-30,2025-03-30,500,delivered,0,,38.5
SH0000205,C006,SUP005,WH004,2024-07-14,2025-02-16,2025-03-07,1000,delivered,0,,38.5
SH0000206,C006,SUP005,WH008,2024-08-18,2025-03-23,2025-03-23,1250,delivered,0,,38.5
SH0000207,C006,SUP005,WH003,2024-09-08,2025-04-13,2025-04-13,1000,delivered,0,,38.5
SH0000208,C006,SUP005,WH001,2024-10-20,2025-06-01,2025-06-01,500,delivered,0,,38.5
SH0000209,C006,SUP005,WH001,2024-12-01,2025-07-13,2025-08-11,750,delivered,0,,38.5
SH0000210,C006,SUP005,WH004,2025-01-05,2025-07-20,2025-08-10,1000,delivered,0,,38.5
SH0000211,C006,SUP005,WH008,2025-02-09,2025-08-24,2025-08-24,1000,delivered,0,,38.5
SH0000212,C006,SUP005,WH010,2025-03-02,2025-09-14,2025-09-14,500,delivered,0,,38.5
SH0000213,C006,SUP005,WH010,2025-04-27,2025-11-16,2025-11-16,750,delivered,0,,38.5
SH0000214,C006,SUP005,WH010,2025-06-22,2026-01-11,2026-01-11,250,delivered,0,,38.5
SH0000215,C006,SUP005,WH008,2025-07-20,2026-02-22,2026-03-10,750,delivered,0,,38.5
SH0000216,C006,SUP005,WH005,2025-08-17,2026-03-22,2026-03-22,750,delivered,0,,38.5
SH0000217,C006,SUP005,WH009,2025-10-05,2026-04-26,,750,ordered,0,,38.5
SH0000218,C006,SUP005,WH006,2025-11-09,2026-05-31,,250,ordered,0,,38.5
SH0000219,C006,SUP005,WH008,2025-11-30,2026-06-21,,750,ordered,9,メーカー生産遅延,38.5
SH0000220,C006,SUP005,WH009,2026-01-04,2026-07-19,,500,ordered,0,,38.5
SH0000221,C006,SUP005,WH003,2026-02-22,2026-09-06,,1000,ordered,0,,38.5
SH0000222,C006,SUP005,WH004,2026-04-19,2026-11-01,,500,ordered,28,フォワーダー遅延,38.5
SH0000223,C006,SUP005,WH007,2026-06-14,2026-12-27,,750,ordered,0,,38.5
SH0000224,C007,SUP004,WH009,2023-01-25,2023-12-27,2023-12-27,1000,delivered,0,,14.2
SH0000225,C007,SUP004,WH005,2023-03-01,2024-01-31,2024-01-31,1500,delivered,0,,14.2
SH0000226,C007,SUP004,WH005,2023-04-05,2024-01-10,2024-01-10,1500,delivered,0,,14.2
SH0000227,C007,SUP004,WH001,2023-05-24,2024-02-28,2024-02-28,500,delivered,0,,14.2
SH0000228,C007,SUP004,WH001,2023-07-12,2024-04-10,2024-04-10,500,delivered,0,,14.2
SH0000229,C007,SUP004,WH005,2023-09-06,2024-06-05,2024-06-05,2000,delivered,0,,14.2
SH0000230,C007,SUP004,WH010,2023-10-04,2024-04-24,2024-04-24,1000,delivered,0,,14.2
SH0000231,C007,SUP004,WH009,2023-11-15,2024-06-05,2024-06-05,1000,delivered,0,,14.2
SH0000232,C007,SUP004,WH004,2023-12-06,2024-06-26,2024-06-26,1500,delivered,0,,14.2
SH0000233,C007,SUP004,WH004,2024-01-24,2024-08-21,2024-08-21,2000,delivered,0,,14.2
SH0000234,C007,SUP004,WH009,2024-02-28,2024-09-25,2024-09-25,1000,delivered,0,,14.2
SH0000235,C007,SUP004,WH009,2024-04-24,2024-10-23,2024-10-23,2000,delivered,0,,14.2
SH0000236,C007,SUP004,WH006,2024-06-19,2024-12-18,2024-12-18,1500,delivered,0,,14.2
SH0000237,C007,SUP004,WH010,2024-07-17,2025-01-15,2025-01-15,1000,delivered,0,,14.2
SH0000238,C007,SUP004,WH001,2024-09-04,2025-03-05,2025-03-05,1000,delivered,0,,14.2
SH0000239,C007,SUP004,WH010,2024-10-30,2025-03-26,2025-03-26,500,delivered,0,,14.2
SH0000240,C007,SUP004,WH004,2024-11-20,2025-04-16,2025-04-16,2000,delivered,0,,14.2
SH0000241,C007,SUP004,WH007,2025-01-08,2025-06-04,2025-06-26,500,delivered,0,,14.2
SH0000242,C007,SUP004,WH008,2025-02-26,2025-07-23,2025-07-23,500,delivered,0,,14.2
SH0000243,C007,SUP004,WH005,2025-03-12,2025-08-06,2025-08-06,500,delivered,0,,14.2
SH0000244,C007,SUP004,WH006,2025-03-26,2025-08-20,2025-08-20,2500,delivered,0,,14.2
SH0000245,C007,SUP004,WH007,2025-04-09,2025-09-17,2025-09-17,1000,delivered,0,,14.2
SH0000246,C007,SUP004,WH006,2025-04-23,2025-10-01,2025-10-01,1500,delivered,0,,14.2
SH0000247,C007,SUP004,WH009,2025-05-14,2025-10-22,2025-11-05,2500,delivered,0,,14.2
SH0000248,C007,SUP004,WH007,2025-07-02,2025-12-24,2025-12-24,2500,delivered,0,,14.2
SH0000249,C007,SUP004,WH002,2025-08-27,2026-02-18,2026-02-18,2500,delivered,0,,14.2
SH0000250,C007,SUP004,WH006,2025-10-01,2026-03-11,2026-03-28,2500,delivered,0,,14.2
SH0000251,C007,SUP004,WH006,2025-10-15,2026-03-25,,2500,in_transit,0,,14.2
SH0000252,C007,SUP004,WH002,2025-12-10,2026-05-20,,2500,ordered,0,,14.2
SH0000253,C007,SUP004,WH004,2026-01-07,2026-06-03,,2000,ordered,7,メーカー設備停止,14.2
SH0000254,C007,SUP004,WH003,2026-01-28,2026-06-24,,2000,ordered,0,,14.2
SH0000255,C007,SUP004,WH007,2026-02-25,2026-07-22,,1000,ordered,0,,14.2
SH0000256,C007,SUP004,WH007,2026-04-01,2026-08-26,,2500,ordered,0,,14.2
SH0000257,C007,SUP004,WH009,2026-04-15,2026-09-09,,1000,ordered,0,,14.2
SH0000258,C007,SUP004,WH007,2026-05-06,2026-09-30,,2000,ordered,0,,14.2
SH0000259,C007,SUP004,WH004,2026-06-24,2026-11-18,,500,ordered,0,,14.2
SH0000260,C008,SUP004,WH004,2023-01-10,2024-01-02,2024-01-06,2000,delayed,4,通関遅延,28.4
SH0000261,C008,SUP004,WH010,2023-01-31,2024-01-23,2024-01-23,2000,delivered,0,,28.4
SH0000262,C008,SUP004,WH005,2023-02-14,2024-02-06,2024-03-07,1000,delivered,0,,28.4
SH0000263,C008,SUP004,WH005,2023-04-04,2024-03-12,2024-03-22,500,delivered,0,,28.4
SH0000264,C008,SUP004,WH005,2023-05-23,2024-04-30,2024-04-30,500,delivered,0,,28.4
SH0000265,C008,SUP004,WH004,2023-06-20,2024-05-28,2024-05-28,1000,delivered,0,,28.4
SH0000266,C008,SUP004,WH009,2023-08-15,2024-04-16,2024-04-16,500,delivered,0,,28.4
SH0000267,C008,SUP004,WH008,2023-09-19,2024-05-21,2024-05-21,1000,delivered,0,,28.4
SH0000268,C008,SUP004,WH009,2023-11-07,2024-06-18,2024-06-18,1500,delivered,0,,28.4
