forecast_id,product_id,customer_id,forecast_month,forecast_qty,forecast_accuracy,created_at
FC000054,P002,CUS001,2024-03-01 00:00:00,1078,0.7018,2024-01-24
FC000055,P002,CUS001,2024-04-01 00:00:00,1237,0.7084,2024-03-06
FC000056,P002,CUS001,2024-05-01 00:00:00,1347,0.5561,2024-03-18
FC000057,P002,CUS001,2024-06-01 00:00:00,1259,0.6561,2024-04-21
FC000058,P002,CUS001,2024-07-01 00:00:00,1183,0.511,2024-05-28
FC000059,P002,CUS001,2024-08-01 00:00:00,1276,0.5296,2024-07-10
FC000060,P002,CUS001,2024-09-01 00:00:00,1054,0.6114,2024-07-25
FC000061,P002,CUS001,2024-10-01 00:00:00,927,0.6296,2024-08-20
FC000062,P002,CUS001,2024-11-01 00:00:00,938,0.5719,2024-10-05
FC000063,P002,CUS001,2024-12-01 00:00:00,970,0.5319,2024-10-26
FC000064,P002,CUS001,2025-01-01 00:00:00,986,0.5567,2024-11-21
FC000065,P002,CUS001,2025-02-01 00:00:00,939,0.6886,2024-12-25
FC000066,P002,CUS001,2025-03-01 00:00:00,1141,0.6505,2025-02-02
FC000067,P002,CUS001,2025-04-01 00:00:00,1257,0.7197,2025-03-09
FC000068,P002,CUS001,2025-05-01 00:00:00,1102,0.5703,2025-03-31
FC000069,P002,CUS001,2025-06-01 00:00:00,1207,0.5997,2025-04-21
FC000070,P002,CUS001,2025-07-01 00:00:00,1345,0.6909,2025-05-22
FC000071,P002,CUS001,2025-08-01 00:00:00,1314,0.6405,2025-07-09
FC000072,P002,CUS001,2025-09-01 00:00:00,1203,0.573,2025-08-06
FC000073,P002,CUS001,2025-10-01 00:00:00,1020,0.6584,2025-08-28
FC000074,P002,CUS001,2025-11-01 00:00:00,995,0.5725,2025-10-10
FC000075,P002,CUS001,2025-12-01 00:00:00,838,0.7133,2025-11-10
FC000076,P002,CUS001,2026-01-01 00:00:00,1067,0.6553,2025-11-25
FC000077,P002,CUS001,2026-02-01 00:00:00,1195,0.7024,2026-01-05
FC000078,P002,CUS001,2026-03-01 00:00:00,957,0.7537,2026-01-25
FC000079,P003,CUS001,2023-01-01 00:00:00,766,0.561,2022-12-12
FC000080,P003,CUS001,2023-02-01 00:00:00,638,0.699,2023-01-04
FC000081,P003,CUS001,2023-03-01 00:00:00,895,0.5925,2023-01-18
FC000082,P003,CUS001,2023-04-01 00:00:00,803,0.7088,2023-02-15
FC000083,P003,CUS001,2023-05-01 00:00:00,795,0.673,2023-04-02
FC000084,P003,CUS001,2023-06-01 00:00:00,882,0.6059,2023-05-11
FC000085,P003,CUS001,2023-07-01 00:00:00,829,0.5026,2023-06-10
FC000086,P003,CUS001,2023-08-01 00:00:00,826,0.5131,2023-06-27
FC000087,P003,CUS001,2023-09-01 00:00:00,682,0.6817,2023-07-27
FC000088,P003,CUS001,2023-10-01 00:00:00,748,0.589,2023-09-06
FC000089,P003,CUS001,2023-11-01 00:00:00,727,0.5117,2023-09-30
FC000090,P003,CUS001,2023-12-01 00:00:00,702,0.5571,2023-10-24
FC000091,P003,CUS001,2024-01-01 00:00:00,714,0.5619,2023-11-29
FC000092,P003,CUS001,2024-02-01 00:00:00,841,0.7075,2023-12-25
FC000093,P003,CUS001,2024-03-01 00:00:00,671,0.6966,2024-01-19
FC000094,P003,CUS001,2024-04-01 00:00:00,864,0.5445,2024-03-04
FC000095,P003,CUS001,2024-05-01 00:00:00,847,0.5221,2024-04-01
FC000096,P003,CUS001,2024-06-01 00:00:00,1024,0.6261,2024-05-10
FC000097,P003,CUS001,2024-07-01 00:00:00,1045,0.664,2024-06-08
FC000098,P003,CUS001,2024-08-01 00:00:00,903,0.6322,2024-07-06
FC000099,P003,CUS001,2024-09-01 00:00:00,802,0.7,2024-08-10
FC000100,P003,CUS001,2024-10-01 00:00:00,775,0.7065,2024-08-31
FC000101,P003,CUS001,2024-11-01 00:00:00,719,0.6235,2024-10-03
FC000102,P003,CUS001,2024-12-01 00:00:00,778,0.696,2024-10-17
FC000103,P003,CUS001,2025-01-01 00:00:00,732,0.5687,2024-12-03
FC000104,P003,CUS001,2025-02-01 00:00:00,779,0.6696,2025-01-09
FC000105,P003,CUS001,2025-03-01 00:00:00,885,0.547,2025-02-06
FC000106,P003,CUS001,2025-04-01 00:00:00,903,0.5634,2025-03-08
FC000107,P003,CUS001,2025-05-01 00:00:00,953,0.5602,2025-04-05
FC000108,P003,CUS001,2025-06-01 00:00:00,1094,0.5547,2025-05-04
FC000109,P003,CUS001,2025-07-01 00:00:00,914,0.5032,2025-06-10
FC000110,P003,CUS001,2025-08-01 00:00:00,926,0.634,2025-06-29
FC000111,P003,CUS001,2025-09-01 00:00:00,876,0.6896,2025-08-08
FC000112,P003,CUS001,2025-10-01 00:00:00,786,0.6018,2025-09-03
FC000113,P003,CUS001,2025-11-01 00:00:00,792,0.7234,2025-09-25
FC000114,P003,CUS001,2025-12-01 00:00:00,796,0.6353,2025-11-09
FC000115,P003,CUS001,2026-01-01 00:00:00,849,0.6457,2025-12-11
FC000116,P003,CUS001,2026-02-01 00:00:00,778,0.629,2025-12-25
FC000117,P003,CUS001,2026-03-01 00:00:00,809,0.7392,2026-01-29
FC000118,P004,CUS001,2023-01-01 00:00:00,895,0.6619,2022-12-11
FC000119,P004,CUS001,2023-02-01 00:00:00,1025,0.6049,2023-01-09
FC000120,P004,CUS001,2023-03-01 00:00:00,1030,0.6542,2023-01-23
FC000121,P004,CUS001,2023-04-01 00:00:00,1218,0.7038,2023-03-08
FC000122,P004,CUS001,2023-05-01 00:00:00,1144,0.5996,2023-04-04
FC000123,P004,CUS001,2023-06-01 00:00:00,1413,0.5862,2023-04-29
FC000124,P004,CUS001,2023-07-01 00:00:00,1017,0.579,2023-05-19
FC000125,P004,CUS001,2023-08-01 00:00:00,1306,0.7026,2023-06-21
FC000126,P004,CUS001,2023-09-01 00:00:00,1014,0.5061,2023-07-18
FC000127,P004,CUS001,2023-10-01 00:00:00,1006,0.5517,2023-08-30
FC000128,P004,CUS001,2023-11-01 00:00:00,993,0.5175,2023-09-27
FC000129,P004,CUS001,2023-12-01 00:00:00,952,0.6245,2023-11-02
FC000130,P004,CUS001,2024-01-01 00:00:00,1092,0.5649,2023-12-05
FC000131,P004,CUS001,2024-02-01 00:00:00,1037,0.6583,2024-01-04
FC000132,P004,CUS001,2024-03-01 00:00:00,1230,0.5217,2024-01-17
FC000133,P004,CUS001,2024-04-01 00:00:00,1164,0.5059,2024-02-24
FC000134,P004,CUS001,2024-05-01 00:00:00,1394,0.6544,2024-04-11
FC000135,P004,CUS001,2024-06-01 00:00:00,1482,0.6741,2024-05-04
FC000136,P004,CUS001,2024-07-01 00:00:00,1437,0.5832,2024-05-23
FC000137,P004,CUS001,2024-08-01 00:00:00,1060,0.5544,2024-06-23
FC000138,P004,CUS001,2024-09-01 00:00:00,1179,0.5578,2024-08-09
FC000139,P004,CUS001,2024-10-01 00:00:00,958,0.6097,2024-08-20
FC000140,P004,CUS001,2024-11-01 00:00:00,1049,0.5669,2024-09-26
FC000141,P004,CUS001,2024-12-01 00:00:00,1047,0.6581,2024-10-19
FC000142,P004,CUS001,2025-01-01 00:00:00,942,0.6343,2024-12-06
FC000143,P004,CUS001,2025-02-01 00:00:00,1031,0.5142,2025-01-02
FC000144,P004,CUS001,2025-03-01 00:00:00,1167,0.5326,2025-01-19
FC000145,P004,CUS001,2025-04-01 00:00:00,1320,0.7135,2025-03-03
FC000146,P004,CUS001,2025-05-01 00:00:00,1161,0.6037,2025-04-01
FC000147,P004,CUS001,2025-06-01 00:00:00,1250,0.6613,2025-04-29
FC000148,P004,CUS001,2025-07-01 00:00:00,1353,0.5464,2025-05-30
FC000149,P004,CUS001,2025-08-01 00:00:00,1148,0.6414,2025-07-03
FC000150,P004,CUS001,2025-09-01 00:00:00,980,0.7006,2025-08-12
FC000151,P004,CUS001,2025-10-01 00:00:00,1056,0.5569,2025-08-23
FC000152,P004,CUS001,2025-11-01 00:00:00,1067,0.5855,2025-09-28
FC000153,P004,CUS001,2025-12-01 00:00:00,882,0.6093,2025-10-17
FC000154,P004,CUS001,2026-01-01 00:00:00,1063,0.67,2025-11-17
FC000155,P004,CUS001,2026-02-01 00:00:00,1076,0.672,2025-12-22
FC000156,P004,CUS001,2026-03-01 00:00:00,1041,0.7609,2026-01-30
FC000157,P005,CUS001,2023-01-01 00:00:00,497,0.7196,2022-11-17
FC000158,P005,CUS001,2023-02-01 00:00:00,493,0.5781,2023-01-12
FC000159,P005,CUS001,2023-03-01 00:00:00,664,0.5046,2023-01-16
FC000160,P005,CUS001,2023-04-01 00:00:00,625,0.5219,2023-02-27
FC000161,P005,CUS001,2023-05-01 00:00:00,667,0.5862,2023-03-30
FC000162,P005,CUS001,2023-06-01 00:00:00,588,0.633,2023-05-05
FC000163,P005,CUS001,2023-07-01 00:00:00,668,0.6934,2023-05-18
FC000164,P005,CUS001,2023-08-01 00:00:00,652,0.5314,2023-06-18
FC000165,P005,CUS001,2023-09-01 00:00:00,529,0.578,2023-07-27
FC000166,P005,CUS001,2023-10-01 00:00:00,525,0.621,2023-08-25
FC000167,P005,CUS001,2023-11-01 00:00:00,485,0.6843,2023-09-17
FC000168,P005,CUS001,2023-12-01 00:00:00,549,0.6298,2023-10-26
FC000169,P005,CUS001,2024-01-01 00:00:00,540,0.7188,2023-11-28
FC000170,P005,CUS001,2024-02-01 00:00:00,515,0.6648,2023-12-20
FC000171,P005,CUS001,2024-03-01 00:00:00,601,0.5067,2024-01-27
FC000172,P005,CUS001,2024-04-01 00:00:00,575,0.7032,2024-02-18
FC000173,P005,CUS001,2024-05-01 00:00:00,677,0.7156,2024-03-22
FC000174,P005,CUS001,2024-06-01 00:00:00,610,0.5742,2024-04-18
FC000175,P005,CUS001,2024-07-01 00:00:00,572,0.6437,2024-06-09
FC000176,P005,CUS001,2024-08-01 00:00:00,605,0.6277,2024-07-05
FC000177,P005,CUS001,2024-09-01 00:00:00,568,0.7031,2024-08-08
FC000178,P005,CUS001,2024-10-01 00:00:00,569,0.6823,2024-08-30
FC000179,P005,CUS001,2024-11-01 00:00:00,480,0.6945,2024-09-29
FC000180,P005,CUS001,2024-12-01 00:00:00,434,0.6922,2024-10-28
FC000181,P005,CUS001,2025-01-01 00:00:00,481,0.6015,2024-11-18
FC000182,P005,CUS001,2025-02-01 00:00:00,553,0.6546,2024-12-21
FC000183,P005,CUS001,2025-03-01 00:00:00,679,0.7112,2025-01-25
FC000184,P005,CUS001,2025-04-01 00:00:00,641,0.5631,2025-03-01
FC000185,P005,CUS001,2025-05-01 00:00:00,647,0.5998,2025-03-29
FC000186,P005,CUS001,2025-06-01 00:00:00,727,0.5508,2025-04-19
FC000187,P005,CUS001,2025-07-01 00:00:00,597,0.6236,2025-06-04
FC000188,P005,CUS001,2025-08-01 00:00:00,616,0.554,2025-06-27
FC000189,P005,CUS001,2025-09-01 00:00:00,635,0.5753,2025-07-31
FC000190,P005,CUS001,2025-10-01 00:00:00,557,0.5957,2025-08-28
FC000191,P005,CUS001,2025-11-01 00:00:00,621,0.6315,2025-09-30
FC000192,P005,CUS001,2025-12-01 00:00:00,453,0.5804,2025-10-21
FC000193,P005,CUS001,2026-01-01 00:00:00,580,0.7781,2025-11-28
FC000194,P005,CUS001,2026-02-01 00:00:00,567,0.6929,2026-01-04
FC000195,P005,CUS001,2026-03-01 00:00:00,578,0.7552,2026-01-16
FC000196,P006,CUS002,2023-01-01 00:00:00,1417,0.6688,2022-11-29
FC000197,P006,CUS002,2023-02-01 00:00:00,1455,0.7039,2022-12-26
FC000198,P006,CUS002,2023-03-01 00:00:00,1630,0.6611,2023-01-29
FC000199,P006,CUS002,2023-04-01 00:00:00,1710,0.5176,2023-03-11
FC000200,P006,CUS002,2023-05-01 00:00:00,1847,0.6794,2023-04-04
FC000201,P006,CUS002,2023-06-01 00:00:00,1840,0.6233,2023-05-08
FC000202,P006,CUS002,2023-07-01 00:00:00,1832,0.6238,2023-06-08
FC000203,P006,CUS002,2023-08-01 00:00:00,1633,0.6996,2023-06-18
FC000204,P006,CUS002,2023-09-01 00:00:00,1571,0.5526,2023-07-24
FC000205,P006,CUS002,2023-10-01 00:00:00,1335,0.7018,2023-09-06
FC000206,P006,CUS002,2023-11-01 00:00:00,1289,0.553,2023-10-09
FC000207,P006,CUS002,2023-12-01 00:00:00,1154,0.6934,2023-10-30
FC000208,P006,CUS002,2024-01-01 00:00:00,1290,0.6207,2023-11-20
FC000209,P006,CUS002,2024-02-01 00:00:00,1559,0.6465,2024-01-05
FC000210,P006,CUS002,2024-03-01 00:00:00,1800,0.612,2024-01-17
FC000211,P006,CUS002,2024-04-01 00:00:00,1694,0.6022,2024-02-16
FC000212,P006,CUS002,2024-05-01 00:00:00,2071,0.6869,2024-03-17
FC000213,P006,CUS002,2024-06-01 00:00:00,2077,0.6704,2024-05-10
FC000214,P006,CUS002,2024-07-01 00:00:00,1915,0.545,2024-06-01
FC000215,P006,CUS002,2024-08-01 00:00:00,1931,0.6067,2024-06-29
FC000216,P006,CUS002,2024-09-01 00:00:00,1674,0.6285,2024-07-23
FC000217,P006,CUS002,2024-10-01 00:00:00,1649,0.6572,2024-09-06
FC000218,P006,CUS002,2024-11-01 00:00:00,1373,0.6275,2024-09-22
FC000219,P006,CUS002,2024-12-01 00:00:00,1399,0.5018,2024-10-27
FC000220,P006,CUS002,2025-01-01 00:00:00,1674,0.653,2024-11-19
FC000221,P006,CUS002,2025-02-01 00:00:00,1467,0.5232,2025-01-10
FC000222,P006,CUS002,2025-03-01 00:00:00,1625,0.7121,2025-01-26
FC000223,P006,CUS002,2025-04-01 00:00:00,1829,0.5381,2025-02-28
FC000224,P006,CUS002,2025-05-01 00:00:00,2093,0.7075,2025-03-27
FC000225,P006,CUS002,2025-06-01 00:00:00,2019,0.618,2025-04-17
FC000226,P006,CUS002,2025-07-01 00:00:00,1853,0.7022,2025-06-03
FC000227,P006,CUS002,2025-08-01 00:00:00,2010,0.6432,2025-07-12
FC000228,P006,CUS002,2025-09-01 00:00:00,1573,0.7157,2025-08-06
FC000229,P006,CUS002,2025-10-01 00:00:00,1769,0.5541,2025-08-18
FC000230,P006,CUS002,2025-11-01 00:00:00,1602,0.6474,2025-09-27
FC000231,P006,CUS002,2025-12-01 00:00:00,1390,0.6544,2025-11-09
FC000232,P006,CUS002,2026-01-01 00:00:00,1400,0.6582,2025-11-30
FC000233,P006,CUS002,2026-02-01 00:00:00,1572,0.7347,2025-12-28
FC000234,P006,CUS002,2026-03-01 00:00:00,1635,0.6937,2026-01-29
FC000235,P007,CUS002,2023-01-01 00:00:00,983,0.5498,2022-12-04
FC000236,P007,CUS002,2023-02-01 00:00:00,974,0.6222,2023-01-05
FC000237,P007,CUS002,2023-03-01 00:00:00,1181,0.5003,2023-01-23
FC000238,P007,CUS002,2023-04-01 00:00:00,1271,0.6776,2023-02-18
FC000239,P007,CUS002,2023-05-01 00:00:00,1322,0.6789,2023-03-19
FC000240,P007,CUS002,2023-06-01 00:00:00,1388,0.5504,2023-04-18
FC000241,P007,CUS002,2023-07-01 00:00:00,1217,0.5547,2023-06-05
FC000242,P007,CUS002,2023-08-01 00:00:00,1229,0.6417,2023-07-01
FC000243,P007,CUS002,2023-09-01 00:00:00,1165,0.6814,2023-08-04
FC000244,P007,CUS002,2023-10-01 00:00:00,1088,0.6767,2023-09-10
FC000245,P007,CUS002,2023-11-01 00:00:00,895,0.6145,2023-09-18
FC000246,P007,CUS002,2023-12-01 00:00:00,953,0.5291,2023-11-11
FC000247,P007,CUS002,2024-01-01 00:00:00,938,0.528,2023-12-07
FC000248,P007,CUS002,2024-02-01 00:00:00,1043,0.7106,2024-01-04
FC000249,P007,CUS002,2024-03-01 00:00:00,1279,0.5333,2024-01-29
FC000250,P007,CUS002,2024-04-01 00:00:00,1229,0.5842,2024-02-23
FC000251,P007,CUS002,2024-05-01 00:00:00,1315,0.6538,2024-03-24
FC000252,P007,CUS002,2024-06-01 00:00:00,1341,0.5034,2024-05-10
FC000253,P007,CUS002,2024-07-01 00:00:00,1401,0.6709,2024-05-23
FC000254,P007,CUS002,2024-08-01 00:00:00,1283,0.5493,2024-06-23
FC000255,P007,CUS002,2024-09-01 00:00:00,1217,0.5081,2024-07-29
FC000256,P007,CUS002,2024-10-01 00:00:00,1219,0.552,2024-08-24
FC000257,P007,CUS002,2024-11-01 00:00:00,1121,0.5535,2024-09-23
FC000258,P007,CUS002,2024-12-01 00:00:00,1023,0.5959,2024-11-08
FC000259,P007,CUS002,2025-01-01 00:00:00,1110,0.6246,2024-11-21
FC000260,P007,CUS002,2025-02-01 00:00:00,1105,0.7043,2025-01-05
FC000261,P007,CUS002,2025-03-01 00:00:00,1237,0.5833,2025-01-26
FC000262,P007,CUS002,2025-04-01 00:00:00,1351,0.5867,2025-02-25
FC000263,P007,CUS002,2025-05-01 00:00:00,1365,0.5233,2025-03-20
FC000264,P007,CUS002,2025-06-01 00:00:00,1493,0.5619,2025-05-10
FC000265,P007,CUS002,2025-07-01 00:00:00,1296,0.6788,2025-05-22
FC000266,P007,CUS002,2025-08-01 00:00:00,1106,0.533,2025-06-17
FC000267,P007,CUS002,2025-09-01 00:00:00,1335,0.5384,2025-07-23
FC000268,P007,CUS002,2025-10-01 00:00:00,1111,0.6541,2025-09-03
FC000269,P007,CUS002,2025-11-01 00:00:00,1100,0.7376,2025-10-03
FC000270,P007,CUS002,2025-12-01 00:00:00,1033,0.6836,2025-10-24
FC000271,P007,CUS002,2026-01-01 00:00:00,1173,0.6937,2025-12-03
FC000272,P007,CUS002,2026-02-01 00:00:00,1115,0.7454,2026-01-04
FC000273,P007,CUS002,2026-03-01 00:00:00,1142,0.73,2026-02-08
FC000274,P008,CUS002,2023-01-01 00:00:00,1373,0.6636,2022-11-23
FC000275,P008,CUS002,2023-02-01 00:00:00,1464,0.6271,2022-12-25
FC000276,P008,CUS002,2023-03-01 00:00:00,1643,0.5685,2023-02-09
FC000277,P008,CUS002,2023-04-01 00:00:00,1916,0.6504,2023-03-11
FC000278,P008,CUS002,2023-05-01 00:00:00,1804,0.5565,2023-04-06
FC000279,P008,CUS002,2023-06-01 00:00:00,1632,0.5093,2023-05-07
FC000280,P008,CUS002,2023-07-01 00:00:00,1854,0.6713,2023-05-29
FC000281,P008,CUS002,2023-08-01 00:00:00,1625,0.6513,2023-07-01
FC000282,P008,CUS002,2023-09-01 00:00:00,1503,0.5422,2023-08-02
FC000283,P008,CUS002,2023-10-01 00:00:00,1385,0.6971,2023-08-20
FC000284,P008,CUS002,2023-11-01 00:00:00,1218,0.5089,2023-09-21
FC000285,P008,CUS002,2023-12-01 00:00:00,1577,0.6448,2023-10-28
FC000286,P008,CUS002,2024-01-01 00:00:00,1352,0.7028,2023-12-04
FC000287,P008,CUS002,2024-02-01 00:00:00,1374,0.5475,2023-12-27
FC000288,P008,CUS002,2024-03-01 00:00:00,1957,0.5917,2024-02-10
FC000289,P008,CUS002,2024-04-01 00:00:00,1675,0.5315,2024-03-06
FC000290,P008,CUS002,2024-05-01 00:00:00,1712,0.6708,2024-03-23
FC000291,P008,CUS002,2024-06-01 00:00:00,1916,0.6972,2024-05-06
FC000292,P008,CUS002,2024-07-01 00:00:00,1669,0.5726,2024-06-07
FC000293,P008,CUS002,2024-08-01 00:00:00,1931,0.5258,2024-07-09
FC000294,P008,CUS002,2024-09-01 00:00:00,1609,0.5176,2024-07-23
FC000295,P008,CUS002,2024-10-01 00:00:00,1480,0.6019,2024-08-25
FC000296,P008,CUS002,2024-11-01 00:00:00,1409,0.5757,2024-09-29
FC000297,P008,CUS002,2024-12-01 00:00:00,1732,0.677,2024-10-28
FC000298,P008,CUS002,2025-01-01 00:00:00,1675,0.6842,2024-11-22
FC000299,P008,CUS002,2025-02-01 00:00:00,1642,0.6374,2024-12-27
FC000300,P008,CUS002,2025-03-01 00:00:00,1562,0.5644,2025-01-27
FC000301,P008,CUS002,2025-04-01 00:00:00,2042,0.7176,2025-02-23
FC000302,P008,CUS002,2025-05-01 00:00:00,1559,0.6441,2025-04-05
FC000303,P008,CUS002,2025-06-01 00:00:00,2138,0.6475,2025-05-10
FC000304,P008,CUS002,2025-07-01 00:00:00,1856,0.6066,2025-05-17
FC000305,P008,CUS002,2025-08-01 00:00:00,1936,0.6698,2025-07-04
FC000306,P008,CUS002,2025-09-01 00:00:00,1629,0.6584,2025-08-03
FC000307,P008,CUS002,2025-10-01 00:00:00,1567,0.6111,2025-08-21
FC000308,P008,CUS002,2025-11-01 00:00:00,1285,0.6637,2025-10-08
FC000309,P008,CUS002,2025-12-01 00:00:00,1353,0.6707,2025-10-18
FC000310,P008,CUS002,2026-01-01 00:00:00,1567,0.7761,2025-11-28
FC000311,P008,CUS002,2026-02-01 00:00:00,1860,0.6892,2026-01-05
FC000312,P008,CUS002,2026-03-01 00:00:00,1641,0.7288,2026-02-02
FC000313,P009,CUS002,2023-01-01 00:00:00,1265,0.5345,2022-11-17
FC000314,P009,CUS002,2023-02-01 00:00:00,1488,0.5516,2022-12-22
FC000315,P009,CUS002,2023-03-01 00:00:00,1603,0.5672,2023-02-08
FC000316,P009,CUS002,2023-04-01 00:00:00,1489,0.5394,2023-02-22
FC000317,P009,CUS002,2023-05-01 00:00:00,1736,0.5239,2023-04-08
FC000318,P009,CUS002,2023-06-01 00:00:00,1862,0.5091,2023-04-28
FC000319,P009,CUS002,2023-07-01 00:00:00,1857,0.6373,2023-06-07
FC000320,P009,CUS002,2023-08-01 00:00:00,1704,0.5899,2023-06-17
FC000321,P009,CUS002,2023-09-01 00:00:00,1696,0.5185,2023-07-23
FC000322,P009,CUS002,2023-10-01 00:00:00,1448,0.5314,2023-09-01
FC000323,P009,CUS002,2023-11-01 00:00:00,1517,0.689,2023-10-02
FC000324,P009,CUS002,2023-12-01 00:00:00,1185,0.7094,2023-10-18
FC000325,P009,CUS002,2024-01-01 00:00:00,1255,0.5557,2023-12-05
FC000326,P009,CUS002,2024-02-01 00:00:00,1497,0.5522,2024-01-03
FC000327,P009,CUS002,2024-03-01 00:00:00,1824,0.5056,2024-02-07
FC000328,P009,CUS002,2024-04-01 00:00:00,1733,0.5152,2024-02-19
FC000329,P009,CUS002,2024-05-01 00:00:00,1941,0.53,2024-04-11
FC000330,P009,CUS002,2024-06-01 00:00:00,1752,0.5526,2024-04-17
FC000331,P009,CUS002,2024-07-01 00:00:00,1971,0.6021,2024-06-04
FC000332,P009,CUS002,2024-08-01 00:00:00,1802,0.5652,2024-06-24
FC000333,P009,CUS002,2024-09-01 00:00:00,1604,0.6062,2024-07-24
FC000334,P009,CUS002,2024-10-01 00:00:00,1450,0.5658,2024-08-23
FC000335,P009,CUS002,2024-11-01 00:00:00,1379,0.6656,2024-10-05
FC000336,P009,CUS002,2024-12-01 00:00:00,1284,0.5327,2024-11-03
FC000337,P009,CUS002,2025-01-01 00:00:00,1276,0.6856,2024-11-28
FC000338,P009,CUS002,2025-02-01 00:00:00,1583,0.6193,2024-12-22
FC000339,P009,CUS002,2025-03-01 00:00:00,1616,0.5586,2025-01-22
FC000340,P009,CUS002,2025-04-01 00:00:00,1780,0.5365,2025-02-27
FC000341,P009,CUS002,2025-05-01 00:00:00,1832,0.62,2025-03-30
FC000342,P009,CUS002,2025-06-01 00:00:00,1773,0.6189,2025-05-09
FC000343,P009,CUS002,2025-07-01 00:00:00,1919,0.5937,2025-05-20
