snapshot_id,component_id,warehouse_id,snapshot_month,stock_qty,safety_stock_qty,replenishment_qty,demand_qty
INV0000167,C001,WH007,2024-05-01,383,149,0,71
INV0000168,C001,WH008,2024-05-01,175,89,0,42
INV0000169,C001,WH009,2024-05-01,419,119,0,57
INV0000170,C001,WH010,2024-05-01,542,119,500,57
INV0000171,C001,WH001,2024-06-01,1249,598,0,376
INV0000172,C001,WH002,2024-06-01,697,299,0,188
INV0000173,C001,WH003,2024-06-01,2996,747,2500,471
INV0000174,C001,WH004,2024-06-01,921,448,0,282
INV0000175,C001,WH005,2024-06-01,331,239,0,150
INV0000176,C001,WH006,2024-06-01,386,179,0,113
INV0000177,C001,WH007,2024-06-01,295,149,0,94
INV0000178,C001,WH008,2024-06-01,126,89,0,56
INV0000179,C001,WH009,2024-06-01,366,119,0,75
INV0000180,C001,WH010,2024-06-01,441,119,0,75
INV0000181,C001,WH001,2024-07-01,884,598,0,356
INV0000182,C001,WH002,2024-07-01,519,299,0,178
INV0000183,C001,WH003,2024-07-01,2644,747,0,446
INV0000184,C001,WH004,2024-07-01,612,448,0,267
INV0000185,C001,WH005,2024-07-01,705,239,500,142
INV0000186,C001,WH006,2024-07-01,271,179,0,107
INV0000187,C001,WH007,2024-07-01,194,149,0,89
INV0000188,C001,WH008,2024-07-01,604,89,500,53
INV0000189,C001,WH009,2024-07-01,292,119,0,71
INV0000190,C001,WH010,2024-07-01,365,119,0,71
INV0000191,C001,WH001,2024-08-01,2446,598,2000,334
INV0000192,C001,WH002,2024-08-01,369,299,0,167
INV0000193,C001,WH003,2024-08-01,2169,747,0,418
INV0000194,C001,WH004,2024-08-01,1862,448,1500,251
INV0000195,C001,WH005,2024-08-01,534,239,0,133
INV0000196,C001,WH006,2024-08-01,657,179,500,100
INV0000197,C001,WH007,2024-08-01,635,149,500,83
INV0000198,C001,WH008,2024-08-01,541,89,0,50
INV0000199,C001,WH009,2024-08-01,231,119,0,66
INV0000200,C001,WH010,2024-08-01,282,119,0,66
INV0000201,C001,WH001,2024-09-01,2133,598,0,285
INV0000202,C001,WH002,2024-09-01,1173,299,1000,142
INV0000203,C001,WH003,2024-09-01,1900,747,0,356
INV0000204,C001,WH004,2024-09-01,1626,448,0,213
INV0000205,C001,WH005,2024-09-01,413,239,0,114
INV0000206,C001,WH006,2024-09-01,568,179,0,85
INV0000207,C001,WH007,2024-09-01,595,149,0,71
INV0000208,C001,WH008,2024-09-01,522,89,0,42
INV0000209,C001,WH009,2024-09-01,170,119,0,57
INV0000210,C001,WH010,2024-09-01,208,119,0,57
INV0000211,C001,WH001,2024-10-01,1704,598,0,284
INV0000212,C001,WH002,2024-10-01,1081,299,0,142
INV0000213,C001,WH003,2024-10-01,1653,747,0,356
INV0000214,C001,WH004,2024-10-01,1319,448,0,213
INV0000215,C001,WH005,2024-10-01,291,239,0,113
INV0000216,C001,WH006,2024-10-01,520,179,0,85
INV0000217,C001,WH007,2024-10-01,495,149,0,71
INV0000218,C001,WH008,2024-10-01,446,89,0,42
INV0000219,C001,WH009,2024-10-01,639,119,500,56
INV0000220,C001,WH010,2024-10-01,155,119,0,56
INV0000221,C001,WH001,2024-11-01,1539,598,0,258
INV0000222,C001,WH002,2024-11-01,884,299,0,129
INV0000223,C001,WH003,2024-11-01,1358,747,0,323
INV0000224,C001,WH004,2024-11-01,1164,448,0,193
INV0000225,C001,WH005,2024-11-01,705,239,500,103
INV0000226,C001,WH006,2024-11-01,444,179,0,77
INV0000227,C001,WH007,2024-11-01,416,149,0,64
INV0000228,C001,WH008,2024-11-01,401,89,0,38
INV0000229,C001,WH009,2024-11-01,605,119,0,51
INV0000230,C001,WH010,2024-11-01,609,119,500,51
INV0000231,C001,WH001,2024-12-01,1290,598,0,297
INV0000232,C001,WH002,2024-12-01,784,299,0,148
INV0000233,C001,WH003,2024-12-01,908,747,0,372
INV0000234,C001,WH004,2024-12-01,907,448,0,223
INV0000235,C001,WH005,2024-12-01,588,239,0,119
INV0000236,C001,WH006,2024-12-01,378,179,0,89
INV0000237,C001,WH007,2024-12-01,352,149,0,74
INV0000238,C001,WH008,2024-12-01,353,89,0,44
INV0000239,C001,WH009,2024-12-01,520,119,0,59
INV0000240,C001,WH010,2024-12-01,553,119,0,59
INV0000241,C001,WH001,2025-01-01,1061,598,0,254
INV0000242,C001,WH002,2025-01-01,677,299,0,127
INV0000243,C001,WH003,2025-01-01,3281,747,2500,318
INV0000244,C001,WH004,2025-01-01,749,448,0,190
INV0000245,C001,WH005,2025-01-01,479,239,0,101
INV0000246,C001,WH006,2025-01-01,287,179,0,76
INV0000247,C001,WH007,2025-01-01,279,149,0,63
INV0000248,C001,WH008,2025-01-01,291,89,0,38
INV0000249,C001,WH009,2025-01-01,457,119,0,50
INV0000250,C001,WH010,2025-01-01,521,119,0,50
INV0000251,C001,WH001,2025-02-01,718,598,0,297
INV0000252,C001,WH002,2025-02-01,570,299,0,148
INV0000253,C001,WH003,2025-02-01,2809,747,0,371
INV0000254,C001,WH004,2025-02-01,492,448,0,222
INV0000255,C001,WH005,2025-02-01,363,239,0,118
INV0000256,C001,WH006,2025-02-01,198,179,0,89
INV0000257,C001,WH007,2025-02-01,213,149,0,74
INV0000258,C001,WH008,2025-02-01,233,89,0,44
INV0000259,C001,WH009,2025-02-01,367,119,0,59
INV0000260,C001,WH010,2025-02-01,483,119,0,59
INV0000261,C001,WH001,2025-03-01,2308,598,2000,310
INV0000262,C001,WH002,2025-03-01,433,299,0,155
INV0000263,C001,WH003,2025-03-01,2509,747,0,387
INV0000264,C001,WH004,2025-03-01,1897,448,1500,232
INV0000265,C001,WH005,2025-03-01,692,239,500,124
INV0000266,C001,WH006,2025-03-01,562,179,500,93
INV0000267,C001,WH007,2025-03-01,623,149,500,77
INV0000268,C001,WH008,2025-03-01,190,89,0,46
INV0000269,C001,WH009,2025-03-01,297,119,0,62
INV0000270,C001,WH010,2025-03-01,390,119,0,62
INV0000271,C001,WH001,2025-04-01,1870,598,0,318
INV0000272,C001,WH002,2025-04-01,1232,299,1000,159
INV0000273,C001,WH003,2025-04-01,2192,747,0,397
INV0000274,C001,WH004,2025-04-01,1646,448,0,238
INV0000275,C001,WH005,2025-04-01,608,239,0,127
INV0000276,C001,WH006,2025-04-01,489,179,0,95
INV0000277,C001,WH007,2025-04-01,586,149,0,79
INV0000278,C001,WH008,2025-04-01,144,89,0,47
INV0000279,C001,WH009,2025-04-01,248,119,0,63
INV0000280,C001,WH010,2025-04-01,333,119,0,63
INV0000281,C001,WH001,2025-05-01,1566,598,0,327
INV0000282,C001,WH002,2025-05-01,1043,299,0,163
INV0000283,C001,WH003,2025-05-01,1721,747,0,409
INV0000284,C001,WH004,2025-05-01,1464,448,0,245
INV0000285,C001,WH005,2025-05-01,493,239,0,131
INV0000286,C001,WH006,2025-05-01,401,179,0,98
INV0000287,C001,WH007,2025-05-01,522,149,0,81
INV0000288,C001,WH008,2025-05-01,95,89,0,49
INV0000289,C001,WH009,2025-05-01,175,119,0,65
INV0000290,C001,WH010,2025-05-01,260,119,0,65
INV0000291,C001,WH001,2025-06-01,1224,598,0,402
INV0000292,C001,WH002,2025-06-01,823,299,0,201
INV0000293,C001,WH003,2025-06-01,1139,747,0,503
INV0000294,C001,WH004,2025-06-01,1201,448,0,302
INV0000295,C001,WH005,2025-06-01,349,239,0,161
INV0000296,C001,WH006,2025-06-01,262,179,0,120
INV0000297,C001,WH007,2025-06-01,392,149,0,100
INV0000298,C001,WH008,2025-06-01,568,89,500,60
INV0000299,C001,WH009,2025-06-01,592,119,500,80
INV0000300,C001,WH010,2025-06-01,178,119,0,80
INV0000301,C001,WH001,2025-07-01,902,598,0,325
INV0000302,C001,WH002,2025-07-01,670,299,0,162
INV0000303,C001,WH003,2025-07-01,3241,747,2500,407
INV0000304,C001,WH004,2025-07-01,940,448,0,244
INV0000305,C001,WH005,2025-07-01,691,239,500,130
INV0000306,C001,WH006,2025-07-01,664,179,500,97
INV0000307,C001,WH007,2025-07-01,307,149,0,81
INV0000308,C001,WH008,2025-07-01,515,89,0,48
INV0000309,C001,WH009,2025-07-01,563,119,0,65
INV0000310,C001,WH010,2025-07-01,611,119,500,65
INV0000311,C001,WH001,2025-08-01,2684,598,2000,350
INV0000312,C001,WH002,2025-08-01,466,299,0,175
INV0000313,C001,WH003,2025-08-01,2635,747,0,438
INV0000314,C001,WH004,2025-08-01,700,448,0,262
INV0000315,C001,WH005,2025-08-01,518,239,0,140
INV0000316,C001,WH006,2025-08-01,577,179,0,105
INV0000317,C001,WH007,2025-08-01,232,149,0,87
INV0000318,C001,WH008,2025-08-01,434,89,0,52
INV0000319,C001,WH009,2025-08-01,470,119,0,70
INV0000320,C001,WH010,2025-08-01,538,119,0,70
INV0000321,C001,WH001,2025-09-01,2542,598,0,310
INV0000322,C001,WH002,2025-09-01,304,299,0,155
INV0000323,C001,WH003,2025-09-01,2409,747,0,388
INV0000324,C001,WH004,2025-09-01,475,448,0,232
INV0000325,C001,WH005,2025-09-01,388,239,0,124
INV0000326,C001,WH006,2025-09-01,454,179,0,93
INV0000327,C001,WH007,2025-09-01,156,149,0,77
INV0000328,C001,WH008,2025-09-01,359,89,0,46
INV0000329,C001,WH009,2025-09-01,385,119,0,62
INV0000330,C001,WH010,2025-09-01,466,119,0,62
INV0000331,C001,WH001,2025-10-01,2189,598,0,281
INV0000332,C001,WH002,2025-10-01,1161,299,1000,140
INV0000333,C001,WH003,2025-10-01,2153,747,0,351
INV0000334,C001,WH004,2025-10-01,1663,448,1500,210
INV0000335,C001,WH005,2025-10-01,279,239,0,112
INV0000336,C001,WH006,2025-10-01,343,179,0,84
INV0000337,C001,WH007,2025-10-01,622,149,500,70
INV0000338,C001,WH008,2025-10-01,336,89,0,42
INV0000339,C001,WH009,2025-10-01,314,119,0,56
INV0000340,C001,WH010,2025-10-01,430,119,0,56
INV0000341,C001,WH001,2025-11-01,1802,598,0,271
INV0000342,C001,WH002,2025-11-01,1001,299,0,135
INV0000343,C001,WH003,2025-11-01,1921,747,0,339
INV0000344,C001,WH004,2025-11-01,1440,448,0,203
INV0000345,C001,WH005,2025-11-01,678,239,500,108
INV0000346,C001,WH006,2025-11-01,264,179,0,81
INV0000347,C001,WH007,2025-11-01,590,149,0,67
INV0000348,C001,WH008,2025-11-01,309,89,0,40
INV0000349,C001,WH009,2025-11-01,258,119,0,54
INV0000350,C001,WH010,2025-11-01,389,119,0,54
INV0000351,C001,WH001,2025-12-01,1578,598,0,287
INV0000352,C001,WH002,2025-12-01,858,299,0,143
INV0000353,C001,WH003,2025-12-01,1552,747,0,359
INV0000354,C001,WH004,2025-12-01,1215,448,0,215
INV0000355,C001,WH005,2025-12-01,558,239,0,115
INV0000356,C001,WH006,2025-12-01,717,179,500,86
INV0000357,C001,WH007,2025-12-01,504,149,0,71
INV0000358,C001,WH008,2025-12-01,278,89,0,43
INV0000359,C001,WH009,2025-12-01,206,119,0,57
INV0000360,C001,WH010,2025-12-01,327,119,0,57
INV0000361,C001,WH001,2026-01-01,1255,598,0,301
INV0000362,C001,WH002,2026-01-01,712,299,0,150
INV0000363,C001,WH003,2026-01-01,1262,747,0,376
INV0000364,C001,WH004,2026-01-01,1050,448,0,226
INV0000365,C001,WH005,2026-01-01,454,239,0,120
INV0000366,C001,WH006,2026-01-01,641,179,0,90
INV0000367,C001,WH007,2026-01-01,454,149,0,75
INV0000368,C001,WH008,2026-01-01,240,89,0,45
INV0000369,C001,WH009,2026-01-01,147,119,0,60
INV0000370,C001,WH010,2026-01-01,279,119,0,60
INV0000371,C001,WH001,2026-02-01,977,598,0,287
INV0000372,C001,WH002,2026-02-01,534,299,0,143
INV0000373,C001,WH003,2026-02-01,912,747,0,358
INV0000374,C001,WH004,2026-02-01,793,448,0,215
INV0000375,C001,WH005,2026-02-01,346,239,0,114
INV0000376,C001,WH006,2026-02-01,561,179,0,86
INV0000377,C001,WH007,2026-02-01,355,149,0,71
INV0000378,C001,WH008,2026-02-01,199,89,0,43
INV0000379,C001,WH009,2026-02-01,560,119,500,57
INV0000380,C001,WH010,2026-02-01,221,119,0,57
INV0000381,C001,WH001,2026-03-01,624,598,0,312
INV0000382,C001,WH002,2026-03-01,404,299,0,156
INV0000383,C001,WH003,2026-03-01,2867,747,2500,390
INV0000384,C001,WH004,2026-03-01,515,448,0,234
INV0000385,C001,WH005,2026-03-01,755,239,500,124
INV0000386,C001,WH006,2026-03-01,448,179,0,93
INV0000387,C001,WH007,2026-03-01,286,149,0,78
INV0000388,C001,WH008,2026-03-01,162,89,0,46
INV0000389,C001,WH009,2026-03-01,493,119,0,62
INV0000390,C001,WH010,2026-03-01,166,119,0,62
INV0000391,C002,WH001,2023-01-01,10221,1094,0,420
INV0000392,C002,WH002,2023-01-01,3886,547,0,210
INV0000393,C002,WH003,2023-01-01,16918,1368,0,525
INV0000394,C002,WH004,2023-01-01,5667,820,0,315
INV0000395,C002,WH005,2023-01-01,4281,437,0,168
INV0000396,C002,WH006,2023-01-01,3217,328,0,126
INV0000397,C002,WH007,2023-01-01,3330,273,0,105
INV0000398,C002,WH008,2023-01-01,1555,164,0,63
INV0000399,C002,WH009,2023-01-01,1897,218,0,84
INV0000400,C002,WH010,2023-01-01,1615,218,0,84
INV0000401,C002,WH001,2023-02-01,9560,1094,0,489
INV0000402,C002,WH002,2023-02-01,3537,547,0,244
INV0000403,C002,WH003,2023-02-01,16079,1368,0,611
INV0000404,C002,WH004,2023-02-01,5151,820,0,366
INV0000405,C002,WH005,2023-02-01,4004,437,0,195
INV0000406,C002,WH006,2023-02-01,3232,328,0,146
INV0000407,C002,WH007,2023-02-01,3013,273,0,122
INV0000408,C002,WH008,2023-02-01,1411,164,0,73
INV0000409,C002,WH009,2023-02-01,1872,218,0,97
INV0000410,C002,WH010,2023-02-01,1538,218,0,97
INV0000411,C002,WH001,2023-03-01,9434,1094,0,492
INV0000412,C002,WH002,2023-03-01,3230,547,0,246
INV0000413,C002,WH003,2023-03-01,14511,1368,0,615
INV0000414,C002,WH004,2023-03-01,4445,820,0,369
INV0000415,C002,WH005,2023-03-01,3786,437,0,196
INV0000416,C002,WH006,2023-03-01,3039,328,0,147
INV0000417,C002,WH007,2023-03-01,2882,273,0,123
INV0000418,C002,WH008,2023-03-01,1318,164,0,73
INV0000419,C002,WH009,2023-03-01,1698,218,0,98
INV0000420,C002,WH010,2023-03-01,1528,218,0,98
INV0000421,C002,WH001,2023-04-01,9524,1094,0,567
INV0000422,C002,WH002,2023-04-01,3029,547,0,283
INV0000423,C002,WH003,2023-04-01,13241,1368,0,709
INV0000424,C002,WH004,2023-04-01,4055,820,0,425
INV0000425,C002,WH005,2023-04-01,3722,437,0,226
INV0000426,C002,WH006,2023-04-01,2779,328,0,170
INV0000427,C002,WH007,2023-04-01,2700,273,0,141
INV0000428,C002,WH008,2023-04-01,1150,164,0,85
INV0000429,C002,WH009,2023-04-01,1619,218,0,113
INV0000430,C002,WH010,2023-04-01,1347,218,0,113
INV0000431,C002,WH001,2023-05-01,8777,1094,0,565
INV0000432,C002,WH002,2023-05-01,2960,547,0,282
INV0000433,C002,WH003,2023-05-01,13099,1368,0,707
INV0000434,C002,WH004,2023-05-01,3652,820,0,424
INV0000435,C002,WH005,2023-05-01,3453,437,0,226
INV0000436,C002,WH006,2023-05-01,2781,328,0,169
INV0000437,C002,WH007,2023-05-01,2539,273,0,141
INV0000438,C002,WH008,2023-05-01,980,164,0,84
INV0000439,C002,WH009,2023-05-01,1497,218,0,113
INV0000440,C002,WH010,2023-05-01,1299,218,0,113
INV0000441,C002,WH001,2023-06-01,8780,1094,0,613
INV0000442,C002,WH002,2023-06-01,2441,547,0,306
INV0000443,C002,WH003,2023-06-01,13188,1368,0,766
INV0000444,C002,WH004,2023-06-01,3183,820,0,459
INV0000445,C002,WH005,2023-06-01,3258,437,0,245
INV0000446,C002,WH006,2023-06-01,2739,328,0,183
INV0000447,C002,WH007,2023-06-01,2340,273,0,153
INV0000448,C002,WH008,2023-06-01,867,164,0,91
INV0000449,C002,WH009,2023-06-01,1404,218,0,122
INV0000450,C002,WH010,2023-06-01,1193,218,0,122
INV0000451,C002,WH001,2023-07-01,7561,1094,0,626
INV0000452,C002,WH002,2023-07-01,2209,547,0,313
INV0000453,C002,WH003,2023-07-01,12530,1368,0,783
INV0000454,C002,WH004,2023-07-01,2626,820,0,470
INV0000455,C002,WH005,2023-07-01,2957,437,0,250
INV0000456,C002,WH006,2023-07-01,2397,328,0,188
INV0000457,C002,WH007,2023-07-01,2058,273,0,156
INV0000458,C002,WH008,2023-07-01,779,164,0,94
INV0000459,C002,WH009,2023-07-01,1233,218,0,125
INV0000460,C002,WH010,2023-07-01,1056,218,0,125
INV0000461,C002,WH001,2023-08-01,7527,1094,0,547
INV0000462,C002,WH002,2023-08-01,1879,547,0,273
INV0000463,C002,WH003,2023-08-01,12191,1368,0,684
INV0000464,C002,WH004,2023-08-01,2160,820,0,410
INV0000465,C002,WH005,2023-08-01,2634,437,0,218
INV0000466,C002,WH006,2023-08-01,2323,328,0,164
INV0000467,C002,WH007,2023-08-01,1907,273,0,136
INV0000468,C002,WH008,2023-08-01,668,164,0,82
INV0000469,C002,WH009,2023-08-01,1210,218,0,109
INV0000470,C002,WH010,2023-08-01,923,218,0,109
INV0000471,C002,WH001,2023-09-01,7100,1094,0,538
INV0000472,C002,WH002,2023-09-01,1485,547,0,269
INV0000473,C002,WH003,2023-09-01,11872,1368,0,672
INV0000474,C002,WH004,2023-09-01,1798,820,0,403
INV0000475,C002,WH005,2023-09-01,2226,437,0,215
INV0000476,C002,WH006,2023-09-01,2153,328,0,161
INV0000477,C002,WH007,2023-09-01,1886,273,0,134
INV0000478,C002,WH008,2023-09-01,604,164,0,80
INV0000479,C002,WH009,2023-09-01,1087,218,0,107
INV0000480,C002,WH010,2023-09-01,867,218,0,107
INV0000481,C002,WH001,2023-10-01,6901,1094,0,477
INV0000482,C002,WH002,2023-10-01,1254,547,0,238
INV0000483,C002,WH003,2023-10-01,11793,1368,0,597
INV0000484,C002,WH004,2023-10-01,1474,820,0,358
INV0000485,C002,WH005,2023-10-01,1897,437,0,191
INV0000486,C002,WH006,2023-10-01,1859,328,0,143
